seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
020001,3　女,1999,118735,30,14,12,7,12,75,76,86,123,178,339,590,1007,1878,3886,6060,7895,9775,12909,16029,17601,17191,14738,6671,1476,149,3
020001,3　女,2000,120588,8,18,20,13,16,75,78,72,112,175,339,594,1091,1840,3623,6606,7675,9322,12988,16050,18044,17607,15115,7362,1640,179,1
020001,3　女,2001,123527,22,18,18,12,11,81,66,64,94,138,288,576,1013,1788,3444,6973,7277,9471,13088,16141,18563,18465,15746,8108,1909,232,2
020001,3　女,2002,124899,20,19,19,13,19,90,70,66,105,137,290,574,944,1691,3044,6578,7295,9391,12740,16317,18851,18862,16607,8850,2167,228,2
020001,3　女,2003,127147,24,11,7,19,19,80,75,79,93,135,265,579,966,1645,2888,6146,7616,9332,12479,16229,19081,19907,17047,9730,2473,297,5
020001,3　女,2004,131992,20,10,7,25,24,86,67,53,102,120,259,564,1071,1599,2896,5963,8309,10015,12400,16443,19952,20867,17385,10560,2879,399,3
020001,3　女,2005,134142,24,9,10,18,18,79,58,58,75,135,220,615,1022,1667,2709,5319,8689,9875,12109,16805,20156,21755,18063,11108,3223,397,5
020001,3　女,2006,136243,26,11,14,14,10,75,62,69,89,133,247,524,994,1632,2736,4946,9017,9202,12127,16753,20365,22089,19069,11966,3706,437,5
020001,3　女,2007,138576,24,10,12,10,5,61,49,54,68,120,187,512,1016,1522,2632,4662,8952,9535,12214,16486,20697,22903,20096,12310,3973,522,5
020001,3　女,2008,141449,23,8,12,13,17,73,59,48,84,99,187,459,1017,1598,2658,4388,8379,10056,12333,16626,21055,23903,20891,12628,4311,591,6
020001,3　女,2009,142461,22,13,13,15,15,78,73,58,51,102,214,452,1019,1628,2583,4149,7406,10201,12991,15837,20958,24313,22114,12910,4646,675,3
020001,3　女,2010,147027,18,10,10,16,12,66,65,58,62,91,188,457,1003,1644,2528,4087,7191,11212,12937,15962,21346,24890,23344,14054,5151,688,3
020001,3　女,2011,149298,17,4,16,8,15,60,58,58,69,93,170,424,1018,1663,2555,3976,6756,12060,12526,15947,21755,25387,24008,14598,5316,798,3
020001,3　女,2012,151162,19,12,13,17,15,76,52,57,72,82,177,391,937,1760,2502,3974,6277,11430,12566,16210,21392,25983,25306,15617,5442,851,8
020001,3　女,2013,153263,17,14,8,9,15,63,74,45,66,86,162,390,910,1682,2569,3970,5863,11118,13334,16303,21594,26446,25992,16114,5591,887,4
020001,3　女,2014,154985,13,12,9,10,17,61,54,41,56,90,183,399,850,1730,2597,3873,5985,10199,14060,17113,21022,26678,26552,16994,5498,941,9
020001,3　女,2015,156211,16,9,13,8,10,56,53,65,70,70,182,408,783,1658,2525,3903,5581,9291,14562,17136,20849,26866,27159,18038,5994,956,6
020001,3　女,2016,158678,13,2,12,6,9,42,39,48,48,70,170,395,809,1599,2661,3957,5419,8627,15487,16251,21039,27484,28015,19020,6427,1069,2
020001,3　女,2017,159001,14,8,8,7,14,51,37,43,60,66,140,374,693,1607,2723,3710,5420,7858,15203,16314,20861,27373,28451,19924,7030,1058,5
020002,3　女,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,3　女,2017,152936,9,6,7,4,11,37,34,42,55,61,134,358,676,1567,2670,3654,5338,7712,14923,15907,20270,26337,27001,18709,6484,962,5
020003,3　女,1999,1361,0,0,0,0,0,0,0,0,0,3,8,6,9,21,40,74,77,104,143,154,221,211,174,92,22,2,0
020003,3　女,2000,1456,0,0,0,0,0,0,0,0,1,2,7,9,18,25,38,83,76,120,130,185,194,211,202,130,22,3,0
020003,3　女,2001,1425,0,0,0,0,0,0,0,0,0,2,5,3,4,20,34,59,88,103,155,173,223,216,195,112,27,6,0
020003,3　女,2002,1532,1,0,0,0,0,1,0,0,0,2,5,10,12,18,38,76,95,122,156,185,217,228,214,116,33,4,0
020003,3　女,2003,1583,0,0,0,1,0,1,0,0,3,4,5,17,14,21,32,75,90,96,135,186,262,245,216,132,40,9,0
020003,3　女,2004,1539,0,0,0,0,0,0,0,1,1,4,8,11,20,17,42,70,86,123,133,162,229,240,214,139,33,6,0
020003,3　女,2005,1528,0,0,0,0,0,0,0,0,0,1,7,6,10,16,36,73,86,115,118,161,244,226,223,156,47,3,0
020003,3　女,2006,1708,0,1,0,0,0,1,0,1,1,5,8,10,13,23,30,42,108,91,138,190,247,272,275,175,64,14,0
020003,3　女,2007,1798,0,0,0,0,0,0,0,0,1,8,4,10,15,23,30,64,92,98,149,188,225,324,297,194,68,8,0
020003,3　女,2008,1862,0,0,0,0,0,0,0,0,1,1,7,16,16,25,28,46,105,117,137,185,241,333,292,217,83,12,0
020003,3　女,2009,1859,0,0,0,0,0,0,0,0,1,1,1,11,17,22,38,46,84,100,145,189,252,325,324,201,80,22,0
020003,3　女,2010,1962,0,0,0,0,0,0,0,0,1,4,8,15,21,17,34,57,73,112,138,187,269,338,351,226,91,20,0
020003,3　女,2011,1987,0,0,0,0,0,0,0,0,0,4,3,5,23,31,28,42,81,117,129,167,283,346,371,256,86,15,0
020003,3　女,2012,2001,0,0,0,0,0,0,0,0,1,1,4,8,19,29,25,50,79,139,130,174,250,334,350,298,93,17,0
020003,3　女,2013,2051,0,0,0,0,0,0,0,1,0,0,2,6,16,26,25,41,71,135,131,179,256,326,428,299,87,22,0
020003,3　女,2014,2147,0,1,0,0,0,1,0,0,2,1,3,10,13,17,34,53,72,116,155,207,236,377,404,298,119,29,0
