seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
020001,2　男,1999,180588,22,18,22,24,24,110,88,123,200,245,337,501,793,1682,4454,8601,13419,19870,29709,33620,26221,21342,13682,4693,812,69,17
020001,2　男,2000,183901,22,19,19,20,27,107,97,91,160,221,330,526,823,1693,3968,8945,13507,19436,29738,34244,28015,21791,14246,4995,895,59,14
020001,2　男,2001,186326,14,15,23,17,19,88,81,96,159,221,313,490,808,1559,3730,9451,12857,18777,28940,35120,30356,21758,14910,5544,972,76,20
020001,2　男,2002,188997,18,16,14,16,15,79,80,88,166,184,312,500,735,1400,3277,9020,12669,18645,28130,35755,32711,22593,15490,5964,1105,84,10
020001,2　男,2003,192028,14,15,11,15,12,67,92,87,139,195,277,444,680,1412,3126,8273,13107,18830,27434,35918,34781,23688,15613,6483,1260,109,13
020001,2　男,2004,198266,18,15,20,15,16,84,77,89,139,155,273,483,798,1353,2988,7716,13502,19992,26907,35997,37527,25813,15822,6977,1441,111,22
020001,2　男,2005,201728,25,15,14,19,23,96,94,74,124,185,254,438,735,1295,2806,6721,14051,20006,26049,36023,38658,28043,16922,7406,1612,125,11
020001,2　男,2006,203181,18,12,16,16,12,74,79,85,131,162,251,471,767,1300,2698,6236,14602,18971,25574,35355,39806,30134,16907,7701,1711,150,16
020001,2　男,2007,207947,25,14,14,14,22,89,72,70,112,157,217,443,744,1320,2506,5729,14462,19189,26146,35280,40125,33246,18053,8061,1778,138,10
020001,2　男,2008,211504,23,8,20,20,15,86,86,81,117,141,236,433,754,1225,2473,5386,13285,19710,26517,34809,40991,35770,18934,8328,1918,206,18
020001,2　男,2009,211480,16,14,6,15,14,65,66,71,106,148,167,392,755,1254,2312,5121,11927,20149,27049,33005,40490,37195,20330,8494,2169,201,14
020001,2　男,2010,216614,10,9,12,15,15,61,66,76,101,150,216,346,676,1243,2320,4783,10921,21235,27391,32993,40820,38980,22757,8922,2309,227,21
020001,2　男,2011,218493,13,13,10,19,13,68,77,78,115,141,188,354,693,1269,2180,4551,9931,22620,26511,33139,40903,39505,24338,9223,2355,239,15
020001,2　男,2012,220747,17,10,14,18,16,75,64,66,110,119,181,332,683,1328,2186,4399,9123,21975,26650,33520,40793,40455,26255,9740,2415,261,17
020001,2　男,2013,222604,13,10,12,18,14,67,67,66,104,117,170,285,645,1294,2234,4392,8649,20292,27525,33920,40407,41258,28317,10053,2482,240,20
020001,2　男,2014,224124,12,14,9,12,19,66,72,73,105,105,164,331,616,1261,2187,4034,8102,18111,28812,35627,39532,41219,30073,10860,2494,258,22
020001,2　男,2015,225453,18,9,17,9,13,66,70,59,98,120,169,279,551,1271,2102,4014,7784,16470,29875,35537,38731,41889,31278,12270,2505,289,26
020001,2　男,2016,225782,13,12,11,7,6,49,60,54,85,106,163,278,560,1164,2202,3899,7407,15094,31271,33589,38793,42087,32412,13395,2782,317,15
020001,2　男,2017,227353,11,5,9,12,12,49,50,66,82,120,146,282,497,1130,2164,3698,7018,13795,30145,34155,39849,42831,33306,14687,2954,314,15
020002,2　男,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
020002,2　男,2017,220398,8,3,7,11,11,40,41,57,70,113,135,258,469,1082,2094,3613,6873,13526,29527,33439,38750,41410,31877,13955,2762,295,12
020003,2　男,1999,3485,0,0,0,0,0,0,0,1,3,8,11,15,23,57,165,295,386,532,570,533,369,277,154,76,8,2,0
020003,2　男,2000,3610,0,0,0,0,0,0,0,2,1,2,12,22,27,58,163,282,416,474,623,559,442,282,172,61,11,0,1
020003,2　男,2001,3786,0,0,0,0,0,0,0,0,4,7,13,20,23,47,135,319,425,538,611,663,444,294,178,54,10,1,0
020003,2　男,2002,3805,0,0,0,0,0,0,0,0,3,6,13,18,18,48,131,304,417,509,583,673,518,299,190,62,12,0,1
020003,2　男,2003,4035,0,0,0,0,0,0,0,0,1,0,9,16,26,51,137,297,450,582,595,671,552,370,190,73,13,2,0
020003,2　男,2004,4034,0,0,0,0,0,0,0,0,2,2,9,22,25,45,98,262,466,613,608,698,565,319,198,80,18,2,2
020003,2　男,2005,4151,0,0,0,0,0,0,0,0,3,4,9,15,21,49,119,235,492,579,612,702,627,384,203,80,16,1,0
020003,2　男,2006,4310,0,0,0,0,0,0,0,0,2,5,8,19,31,44,96,247,490,594,640,662,676,446,222,107,19,2,0
020003,2　男,2007,4601,0,0,0,0,1,1,0,0,2,4,9,18,35,42,103,216,495,633,691,760,704,504,243,113,24,3,1
020003,2　男,2008,4721,0,0,0,0,0,0,0,0,0,8,10,17,44,46,88,200,479,664,751,743,693,594,260,99,21,3,1
020003,2　男,2009,4687,0,0,0,0,0,0,0,1,2,1,9,18,23,45,99,186,415,640,786,703,723,594,296,118,24,3,1
020003,2　男,2010,4840,0,0,0,0,0,0,0,0,0,5,6,12,33,49,94,185,395,648,758,778,781,618,317,128,25,6,2
020003,2　男,2011,4901,0,0,0,0,0,0,0,1,1,9,3,12,25,58,86,175,378,723,753,723,783,681,351,105,30,4,0
020003,2　男,2012,5166,0,0,0,0,0,0,0,0,0,3,4,12,24,49,87,167,315,749,768,791,857,700,444,157,35,4,0
020003,2　男,2013,5128,0,0,0,0,0,0,0,0,1,2,2,10,19,47,83,151,288,631,817,898,811,723,464,136,41,4,0
020003,2　男,2014,5268,0,0,0,0,0,0,0,2,1,2,8,16,34,43,72,174,327,539,809,965,844,730,500,158,37,5,2
020003,2　男,2015,5258,0,0,0,0,0,0,0,0,0,1,8,12,23,42,81,151,268,549,868,916,838,740,514,207,33,7,0
020003,2　男,2016,5396,0,0,0,0,0,0,0,0,0,2,8,14,26,56,96,165,314,507,912,873,901,752,515,202,48,4,1
020003,2　男,2017,5328,0,0,0,0,0,0,0,0,1,4,5,12,18,51,90,149,246,434,835,893,914,818,554,247,54,3,0
020004,2　男,1999,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,4,1,4,0,0,0
020004,2　男,2000,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,3,2,2,0,0,0
020004,2　男,2001,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,3,4,5,2,0,0,0,0
020004,2　男,2002,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,1,2,1,1,2,0,0
020004,2　男,2003,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,4,2,0,1,0,0,0
020004,2　男,2004,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,4,3,0,0,0,0,0
020004,2　男,2005,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,1,1,0,0,0
020004,2　男,2006,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,1,1,0,0,0
020004,2　男,2007,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,4,2,1,2,0,0,0
020004,2　男,2008,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,3,2,2,5,1,0,0,0
020004,2　男,2009,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,1,3,2,2,0,0,0
020004,2　男,2010,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,2,3,2,2,0,0,0
020004,2　男,2011,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,2,0,1,0,1,0,0
020004,2　男,2012,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,3,1,2,1,1,0,0
