seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
030001,2　男,1999,1830,15,7,8,7,2,39,7,9,14,14,12,16,23,14,36,64,70,111,221,261,247,272,253,117,23,6,1
030001,2　男,2000,1789,12,3,6,2,1,24,5,7,6,10,7,12,24,28,45,62,94,124,201,246,263,262,226,109,30,3,1
030001,2　男,2001,1650,15,4,2,2,2,25,5,1,8,8,12,20,11,24,31,57,78,121,153,223,238,266,222,118,24,5,0
030001,2　男,2002,1707,11,4,3,1,2,21,5,8,12,11,11,10,14,19,27,52,70,112,157,239,271,256,241,136,32,2,1
030001,2　男,2003,1829,13,5,1,2,2,23,4,3,10,9,11,14,14,24,23,61,77,123,158,281,310,280,219,151,29,5,0
030001,2　男,2004,1801,8,3,2,2,1,16,4,2,7,6,12,23,21,23,27,58,84,105,171,242,301,283,226,151,33,6,0
030001,2　男,2005,1872,13,6,3,2,0,24,4,2,5,9,5,5,13,18,23,40,89,126,183,245,336,314,235,139,51,5,1
030001,2　男,2006,1899,10,5,1,0,1,17,0,5,6,5,4,8,9,22,27,51,84,105,180,248,360,317,274,133,39,5,0
030001,2　男,2007,1821,19,3,1,1,0,24,0,4,6,10,13,16,12,14,26,41,86,91,154,254,306,342,246,132,38,4,2
030001,2　男,2008,1752,15,5,2,2,0,24,3,4,8,8,1,10,9,15,14,30,78,101,141,218,328,345,235,121,52,7,0
030001,2　男,2009,1762,14,8,0,2,1,25,3,3,5,2,4,5,12,9,6,33,62,97,153,254,302,359,238,131,51,8,0
030001,2　男,2010,1948,9,7,0,4,0,20,1,7,3,4,7,12,11,18,26,28,79,105,148,218,357,392,286,163,56,6,1
030001,2　男,2011,1974,14,4,4,1,1,24,5,3,6,2,5,6,15,15,24,28,62,111,143,234,332,419,313,164,50,13,0
030001,2　男,2012,1943,4,4,2,3,1,14,4,2,2,3,7,5,12,16,26,31,39,148,158,213,323,377,325,168,62,7,1
030001,2　男,2013,1998,8,3,3,0,1,15,4,1,4,3,2,12,12,13,18,29,50,105,136,225,331,429,358,186,57,8,0
030001,2　男,2014,1862,5,1,2,1,0,9,3,2,3,4,4,4,13,15,12,28,41,79,158,185,291,409,339,196,49,15,3
030001,2　男,2015,1923,8,3,2,2,3,18,5,3,5,2,4,12,12,11,19,28,44,75,169,199,271,369,396,207,63,11,0
030001,2　男,2016,2003,15,0,2,0,1,18,3,1,5,4,2,5,10,11,31,36,34,73,183,193,272,433,404,216,58,10,1
030001,2　男,2017,1884,9,2,2,0,3,16,6,1,5,5,1,2,3,16,24,37,36,68,171,207,265,381,364,206,64,4,2
030002,2　男,1999,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,5,7,5,7,14,7,2,1,0
030002,2　男,2000,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,5,8,9,10,9,2,0,0
030002,2　男,2001,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,5,0,2,4,13,10,8,0,0,0
030002,2　男,2002,52,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,5,2,4,7,7,12,6,5,0,0
030002,2　男,2003,53,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,3,2,1,9,10,8,10,2,1,0
030002,2　男,2004,54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,4,2,4,7,12,7,10,1,0,0
