seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
030001,1総数,1999,4198,30,14,10,9,2,65,12,15,21,23,27,26,37,41,80,118,153,201,371,507,591,639,701,436,114,19,1
030001,1総数,2000,4057,23,10,7,2,1,43,10,13,11,24,20,29,41,60,72,112,157,225,345,440,583,628,681,400,139,23,1
030001,1総数,2001,3860,23,9,4,3,3,42,8,3,19,20,24,30,21,40,54,104,143,201,287,429,580,642,654,413,123,23,0
030001,1総数,2002,3944,17,8,5,2,4,36,8,12,16,20,16,21,35,42,57,98,124,198,284,433,578,636,712,467,123,27,1
030001,1総数,2003,3992,27,8,2,3,3,43,8,9,18,13,26,24,26,37,45,94,116,195,300,478,621,665,645,464,145,20,0
030001,1総数,2004,4066,17,5,3,2,2,29,5,7,9,9,14,35,36,44,59,98,133,178,283,441,608,704,651,511,180,32,0
030001,1総数,2005,4173,20,9,5,3,2,39,6,2,9,20,13,15,23,32,41,75,137,203,288,446,647,740,688,510,214,24,1
030001,1総数,2006,4180,21,6,5,2,4,38,2,6,10,7,12,17,19,31,44,82,140,168,284,453,665,723,741,509,200,29,0
030001,1総数,2007,4131,23,5,3,1,0,32,5,6,9,16,20,21,25,29,47,78,147,154,261,450,610,743,691,549,210,26,2
030001,1総数,2008,4059,26,6,3,3,1,39,5,6,10,14,3,22,27,31,33,57,121,166,260,413,626,773,689,485,229,50,0
030001,1総数,2009,4040,18,11,1,2,2,34,3,4,7,6,9,20,23,21,31,56,113,160,274,414,571,790,715,496,245,48,0
030001,1総数,2010,4336,18,7,0,5,1,31,1,12,6,9,10,17,25,28,44,44,118,176,258,401,650,839,798,568,255,45,1
030001,1総数,2011,4382,20,5,6,2,2,35,7,5,8,12,8,8,23,29,47,62,102,208,256,422,613,802,856,588,233,57,1
030001,1総数,2012,4459,9,6,4,3,2,24,5,4,7,4,9,10,22,29,41,63,85,231,253,400,626,844,877,626,254,44,1
030001,1総数,2013,4514,14,5,3,0,2,24,6,5,6,5,5,16,16,24,42,50,77,183,238,382,657,891,917,660,265,45,0
030001,1総数,2014,4313,10,5,4,2,0,21,5,6,6,7,5,8,30,25,26,43,74,151,259,359,529,849,899,685,257,66,3
030001,1総数,2015,4342,13,8,4,2,3,30,9,4,8,2,9,17,22,21,32,47,81,141,249,389,530,806,961,637,284,63,0
030001,1総数,2016,4541,17,1,4,1,1,24,3,4,7,6,4,8,17,26,46,59,63,138,290,332,515,920,973,747,301,57,1
030001,1総数,2017,4370,13,3,4,2,3,25,6,2,8,8,5,5,12,27,38,51,66,117,285,372,515,785,900,748,336,57,2
030002,1総数,1999,170,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,6,4,8,13,17,29,45,28,13,2,0
030002,1総数,2000,143,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,4,11,14,29,38,35,5,2,0
030002,1総数,2001,125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,5,3,6,9,27,36,23,8,2,0
030002,1総数,2002,150,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,1,7,3,10,16,19,35,34,19,1,0
030002,1総数,2003,158,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,5,1,6,3,4,13,31,41,35,13,3,0
030002,1総数,2004,154,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,5,5,8,12,28,26,39,19,4,0
030002,1総数,2005,156,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,5,6,5,9,15,21,25,44,17,1,0
030002,1総数,2006,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,8,7,17,25,39,24,18,4,0
