seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
040001,3　女,1999,8964,18,10,0,1,3,32,3,4,4,16,29,30,44,42,104,170,253,395,635,988,1388,1738,1761,985,289,53,1
040001,3　女,2000,8369,21,5,2,3,5,36,1,6,6,10,29,31,28,53,104,152,244,339,558,899,1310,1642,1638,952,281,49,1
040001,3　女,2001,8337,15,3,2,4,1,25,2,6,3,16,13,31,44,44,100,185,219,321,593,822,1279,1564,1648,1036,319,66,1
040001,3　女,2002,8638,18,2,0,3,2,25,3,3,8,11,23,27,32,45,73,174,231,334,549,890,1298,1665,1678,1159,343,67,0
040001,3　女,2003,8903,18,2,4,2,1,27,6,3,13,9,18,27,41,55,78,161,226,333,551,854,1272,1729,1753,1281,391,74,1
040001,3　女,2004,8875,16,3,4,3,0,26,2,0,4,7,16,32,33,44,64,133,241,362,553,834,1234,1709,1724,1329,442,85,1
040001,3　女,2005,9752,15,3,4,4,0,26,4,5,2,12,19,28,41,53,83,125,244,360,523,864,1405,1909,1874,1468,601,105,1
040001,3　女,2006,9549,17,5,1,2,1,26,2,1,9,7,13,25,37,57,78,129,269,339,494,843,1307,1790,1884,1518,600,119,2
040001,3　女,2007,10110,23,4,0,2,4,33,2,5,9,6,10,24,35,50,71,124,254,318,534,827,1298,1927,2031,1736,688,126,2
040001,3　女,2008,10542,15,3,1,1,0,20,4,2,6,7,16,32,44,45,50,88,203,359,456,888,1395,2002,2228,1744,801,151,1
040001,3　女,2009,10154,15,5,2,1,5,28,3,4,2,8,13,20,30,39,67,107,208,312,456,745,1221,1928,2262,1741,774,185,1
040001,3　女,2010,10822,11,2,0,1,0,14,4,2,2,11,12,21,37,52,71,106,190,329,468,770,1295,1977,2397,1930,941,193,0
040001,3　女,2011,11063,12,1,1,2,1,17,0,2,3,6,8,20,44,52,68,103,171,345,444,734,1297,1971,2523,2044,983,227,1
040001,3　女,2012,11188,7,2,1,6,0,16,3,2,6,8,11,16,45,66,52,107,155,331,442,718,1332,2059,2528,2096,980,214,1
040001,3　女,2013,10846,11,2,2,0,0,15,6,9,3,9,7,17,37,49,78,92,127,303,419,672,1200,1971,2510,2139,979,203,1
040001,3　女,2014,10504,6,1,1,2,1,11,3,3,4,11,7,18,31,51,80,97,137,268,437,640,1113,1836,2414,2156,965,222,0
040001,3　女,2015,10446,2,3,0,0,0,5,3,1,4,7,12,19,26,60,72,77,113,224,405,647,1090,1790,2489,2150,996,256,0
040001,3　女,2016,10597,10,3,2,2,0,17,0,1,5,8,11,15,37,49,84,89,133,218,447,608,1074,1793,2491,2231,1041,245,0
040001,3　女,2017,10882,12,2,1,1,0,16,2,1,2,3,9,14,36,47,73,106,124,230,493,593,1096,1861,2461,2289,1150,276,0
040002,3　女,1999,209,0,0,0,0,0,0,0,0,1,2,7,1,5,4,12,7,9,10,14,15,21,29,36,30,4,2,0
040002,3　女,2000,177,1,0,0,0,0,1,0,0,0,2,3,7,4,6,6,7,10,13,13,10,16,21,33,17,8,0,0
040002,3　女,2001,183,0,0,0,2,0,2,0,0,1,3,4,3,9,6,7,12,9,5,12,8,18,26,34,20,3,1,0
040002,3　女,2002,172,0,0,0,0,0,0,0,0,0,0,3,3,0,6,7,9,11,6,9,10,18,32,27,25,6,0,0
040002,3　女,2003,187,0,0,0,0,0,0,0,0,2,0,3,2,8,10,5,9,13,4,13,13,15,35,30,15,10,0,0
040002,3　女,2004,206,0,0,0,0,0,0,0,0,0,1,1,3,3,6,8,6,5,15,13,17,22,30,40,31,5,0,0
040002,3　女,2005,223,0,0,0,0,0,0,1,0,1,3,4,4,6,8,10,10,5,6,7,17,21,37,35,29,17,2,0
040002,3　女,2006,195,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,6,14,6,6,5,22,43,26,32,10,4,0
040002,3　女,2007,231,0,0,0,0,0,0,0,1,1,2,3,3,7,8,7,10,11,1,9,6,38,31,39,32,16,5,1
040002,3　女,2008,202,0,1,0,0,0,1,0,0,0,2,1,7,4,2,4,4,8,5,9,16,22,32,34,34,15,2,0
040002,3　女,2009,229,0,0,0,0,0,0,0,0,0,0,1,5,2,6,6,5,8,10,9,8,16,33,52,41,21,5,1
040002,3　女,2010,268,0,0,0,0,0,0,0,0,0,1,1,3,2,7,4,8,9,7,14,9,30,47,57,42,20,7,0
040002,3　女,2011,267,0,0,0,0,0,0,0,0,0,0,1,4,5,7,8,7,8,10,10,16,21,47,44,56,18,5,0
040002,3　女,2012,305,0,0,0,0,0,0,0,1,1,1,1,4,8,4,9,5,7,11,5,16,25,50,54,59,35,9,0
040002,3　女,2013,239,0,0,0,0,0,0,0,0,0,0,1,1,4,8,6,3,6,0,9,9,23,34,42,48,37,8,0
040002,3　女,2014,260,0,0,0,0,1,1,0,0,0,1,1,2,6,5,2,5,7,6,15,7,29,35,46,50,32,10,0
040002,3　女,2015,280,0,0,0,0,0,0,0,0,0,0,1,0,5,4,7,4,1,12,8,7,16,45,63,65,32,10,0
040002,3　女,2016,295,0,0,0,0,0,0,0,1,0,2,3,1,3,3,7,6,8,7,10,12,19,36,62,74,29,12,0
040002,3　女,2017,434,0,0,0,0,0,0,0,0,0,1,0,1,6,3,5,4,6,10,9,17,28,68,95,98,63,20,0
040003,3　女,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040003,3　女,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040003,3　女,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
040003,3　女,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040003,3　女,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040003,3　女,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040003,3　女,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040003,3　女,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040003,3　女,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040003,3　女,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
040003,3　女,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
040003,3　女,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
