seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
040001,1総数,1999,17761,44,14,6,4,5,73,8,11,19,39,67,86,121,168,387,684,931,1244,1876,2212,2461,2844,2655,1399,403,65,8
040001,1総数,2000,17110,48,13,6,8,10,85,6,18,25,32,54,89,95,197,355,623,865,1250,1739,2240,2455,2692,2489,1360,371,58,12
040001,1総数,2001,16976,45,8,4,5,2,64,6,11,15,29,40,81,120,155,340,731,861,1137,1743,2070,2436,2678,2492,1449,424,81,13
040001,1総数,2002,17645,38,9,2,4,4,57,6,10,24,29,49,80,108,178,283,681,872,1180,1714,2234,2600,2764,2611,1624,447,84,10
040001,1総数,2003,18034,36,12,4,3,5,60,8,12,25,23,43,91,111,176,280,642,872,1201,1710,2259,2664,2807,2671,1741,527,93,18
040001,1総数,2004,18079,44,9,7,6,3,69,12,8,14,27,36,68,120,165,263,565,873,1220,1674,2212,2730,2873,2603,1845,584,109,9
040001,1総数,2005,19726,41,8,6,8,2,65,8,14,16,26,39,85,116,186,286,538,970,1258,1659,2384,2986,3265,2871,2092,724,128,10
040001,1総数,2006,19605,35,8,4,3,2,52,9,7,18,17,34,60,131,188,282,509,1024,1217,1666,2330,2955,3251,2847,2091,776,133,8
040001,1総数,2007,20321,36,8,1,6,8,59,9,9,21,25,34,82,96,180,284,464,985,1210,1633,2330,3022,3452,3057,2332,880,149,8
040001,1総数,2008,21102,37,10,4,5,1,57,8,5,17,25,40,62,114,167,251,417,878,1206,1602,2434,3201,3738,3317,2382,986,192,3
040001,1総数,2009,20571,32,11,3,2,6,54,6,9,7,20,30,57,104,173,260,412,844,1213,1534,2153,2992,3733,3350,2394,1012,209,5
040001,1総数,2010,21684,33,7,6,2,7,55,7,9,7,17,34,64,111,192,270,396,773,1290,1549,2187,3101,3877,3669,2669,1171,228,8
040001,1総数,2011,22133,18,6,2,4,5,35,10,12,8,21,25,54,117,191,268,407,690,1403,1511,2142,3133,3890,3921,2774,1255,261,5
040001,1総数,2012,22168,17,4,3,10,2,36,11,5,13,17,28,42,127,187,256,384,647,1276,1510,2101,3108,4035,4050,2843,1227,258,7
040001,1総数,2013,21484,31,5,4,1,2,43,11,11,7,21,24,47,100,162,259,353,531,1206,1511,1931,2956,3936,4056,2871,1215,227,6
040001,1総数,2014,21065,22,6,4,3,4,39,8,7,6,26,23,42,89,176,241,360,545,1044,1516,1937,2826,3815,3998,2915,1202,246,4
040001,1総数,2015,20943,8,7,2,1,1,19,6,3,10,20,25,42,84,172,245,328,520,903,1543,1930,2664,3741,4174,2962,1248,298,6
