seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
050001,2　男,1999,1441,0,0,0,0,0,0,0,1,4,8,14,12,23,43,63,87,83,112,92,108,140,187,258,153,51,2,0
050001,2　男,2000,1555,1,0,0,0,0,1,1,0,3,4,11,14,21,33,45,95,94,99,86,117,156,223,307,176,62,7,0
050001,2　男,2001,1621,0,0,0,0,0,0,0,1,3,9,20,24,25,44,47,96,79,91,104,136,163,227,277,209,59,6,1
050001,2　男,2002,1565,0,1,0,0,0,1,1,1,4,8,11,20,30,35,59,94,93,91,96,107,167,186,275,210,70,6,0
050001,2　男,2003,1686,0,0,0,0,0,0,0,0,6,10,11,21,29,48,54,85,103,98,106,114,180,216,302,205,83,15,0
050001,2　男,2004,1585,0,0,0,0,0,0,0,0,0,8,8,19,32,53,50,75,91,99,84,108,145,222,293,201,79,16,2
050001,2　男,2005,1692,0,0,0,0,0,0,0,0,3,5,11,21,24,35,50,80,117,99,91,118,201,212,278,253,80,12,2
050001,2　男,2006,1833,0,0,0,0,1,1,0,1,0,4,6,17,25,36,34,60,103,110,107,155,218,298,279,262,103,14,0
050001,2　男,2007,1946,0,0,1,0,0,1,0,0,1,3,6,9,26,26,40,51,111,102,91,147,231,344,348,280,108,21,0
050001,2　男,2008,2230,0,0,0,1,0,1,0,0,1,2,7,13,22,32,43,68,105,118,116,142,259,387,413,316,162,23,0
050001,2　男,2009,2365,0,0,0,0,1,1,0,0,2,3,4,9,23,25,41,57,85,125,139,137,297,441,447,350,151,28,0
050001,2　男,2010,2632,0,0,0,0,0,0,0,0,2,4,6,10,21,32,36,75,92,117,132,168,291,485,553,368,199,40,1
050001,2　男,2011,3085,0,0,0,0,0,0,1,1,0,1,8,12,18,25,42,71,96,152,142,172,350,593,652,455,250,42,2
050001,2　男,2012,3310,0,0,0,0,0,0,1,0,1,2,7,3,20,39,43,59,78,127,144,208,385,643,790,499,225,36,0
050001,2　男,2013,3588,0,0,0,0,0,0,0,0,1,5,5,13,23,27,29,47,67,154,146,209,389,749,872,585,230,36,1
050001,2　男,2014,3979,0,0,0,0,0,0,1,2,1,1,4,12,24,24,38,45,62,128,166,279,438,774,979,671,273,57,0
050001,2　男,2015,4088,0,0,0,0,0,0,0,2,1,4,1,8,8,23,47,59,65,133,165,262,423,817,1024,739,268,39,0
050001,2　男,2016,4414,0,0,0,0,0,0,0,0,0,3,3,11,8,28,39,63,72,138,209,252,442,859,1103,830,292,60,2
050001,2　男,2017,7977,0,0,0,0,0,0,1,0,0,2,2,2,18,27,41,53,90,164,354,454,862,1742,2078,1527,490,68,2
050002,2　男,1999,806,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6,14,17,51,105,172,243,145,48,2,0
050002,2　男,2000,917,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,14,13,61,109,198,283,169,59,7,0
