seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
060001,3　女,1999,4513,35,29,15,11,10,100,39,23,43,42,59,44,38,57,99,138,212,275,466,599,770,693,511,239,60,6,0
060001,3　女,2000,4544,29,18,13,18,6,84,23,14,27,46,48,32,38,54,91,144,179,283,423,639,774,686,609,271,72,7,0
060001,3　女,2001,4746,22,20,8,8,5,63,21,19,26,33,42,39,32,58,62,147,179,230,429,631,822,842,626,332,96,17,0
060001,3　女,2002,4998,14,19,11,11,8,63,27,18,28,34,26,43,42,43,98,123,177,277,426,629,848,865,713,391,111,16,0
060001,3　女,2003,5316,14,21,19,6,7,67,16,15,33,33,43,34,49,46,62,141,176,277,432,671,929,917,795,442,116,22,0
060001,3　女,2004,5815,15,18,9,8,5,55,15,19,26,29,49,44,43,50,71,146,204,286,418,643,988,1068,928,537,170,26,0
060001,3　女,2005,6354,11,19,13,11,9,63,23,17,22,41,40,41,37,46,71,128,198,330,489,745,1059,1229,954,596,206,19,0
060001,3　女,2006,7031,15,15,8,2,5,45,30,13,26,36,40,50,46,54,88,131,224,282,489,767,1155,1355,1163,749,241,46,1
060001,3　女,2007,7526,17,10,7,7,4,45,13,20,24,34,35,28,49,67,72,117,255,307,505,814,1209,1486,1302,804,293,47,0
060001,3　女,2008,8391,19,15,7,6,7,54,17,12,27,25,26,53,53,57,79,120,245,347,504,822,1318,1716,1536,956,375,49,0
060001,3　女,2009,8582,17,16,6,5,3,47,15,17,14,36,25,38,53,49,80,99,200,316,534,797,1298,1750,1686,1049,402,76,1
060001,3　女,2010,9810,26,19,6,7,6,64,20,15,25,29,35,34,64,55,71,107,214,373,545,856,1418,1961,2019,1283,533,89,0
060001,3　女,2011,11354,12,15,6,8,3,44,16,7,24,23,28,39,33,57,96,123,191,484,557,866,1572,2314,2451,1621,681,127,0
060001,3　女,2012,12814,23,12,1,9,6,51,22,19,18,27,30,40,48,49,67,111,183,406,577,943,1702,2567,2902,2094,795,163,0
060001,3　女,2013,14407,14,16,14,8,2,54,12,13,15,20,17,35,48,61,70,122,214,417,668,1035,1790,2806,3314,2415,1088,193,0
060001,3　女,2014,15352,15,8,11,5,3,42,16,18,23,14,34,27,48,58,73,121,164,377,619,1095,1778,2961,3554,2898,1181,251,0
060001,3　女,2015,17068,17,18,2,9,1,47,22,10,22,21,33,27,56,63,78,113,201,420,717,1160,1810,3133,4162,3225,1454,294,0
060001,3　女,2016,18417,18,21,8,4,3,54,19,17,15,29,28,27,32,56,88,141,191,332,799,1124,1929,3297,4459,3777,1658,345,0
060001,3　女,2017,23856,15,7,8,10,2,42,10,14,27,26,31,28,44,58,98,157,210,388,929,1378,2628,4341,5621,5065,2329,432,0
060002,3　女,1999,415,11,0,1,4,1,17,4,2,4,5,15,8,10,6,12,20,27,34,45,51,50,53,31,18,2,1,0
060002,3　女,2000,377,7,2,1,2,0,12,3,2,4,7,5,2,5,4,14,15,20,30,51,44,49,45,39,20,5,1,0
060002,3　女,2001,346,7,2,2,0,2,13,2,2,1,4,1,9,6,5,6,14,15,18,34,42,64,49,35,24,1,1,0
060002,3　女,2002,341,6,2,1,0,1,10,4,3,2,5,5,9,6,6,9,12,16,24,27,52,43,48,40,15,5,0,0
060002,3　女,2003,354,3,6,2,2,0,13,1,1,3,4,6,6,7,7,8,18,13,35,34,44,50,37,44,18,4,1,0
060002,3　女,2004,376,3,4,0,0,0,7,1,1,0,4,6,11,6,7,10,20,20,25,31,45,58,62,35,21,5,1,0
060002,3　女,2005,374,2,4,0,1,1,8,2,1,0,3,6,4,4,5,3,14,14,26,42,56,61,56,40,23,6,0,0
060002,3　女,2006,364,3,2,2,0,0,7,4,0,3,2,9,7,3,8,7,12,17,22,27,42,66,55,41,21,11,0,0
060002,3　女,2007,368,4,2,1,2,0,9,0,0,3,3,6,3,4,8,6,9,23,16,35,48,58,53,53,22,9,0,0
060002,3　女,2008,344,3,2,0,0,1,6,2,0,0,2,2,5,5,5,6,4,12,22,30,43,58,69,47,17,8,1,0
060002,3　女,2009,340,2,1,2,1,0,6,2,0,1,5,2,7,5,4,11,12,13,17,37,31,46,57,50,26,7,1,0
060002,3　女,2010,325,10,1,2,0,0,13,0,1,0,2,5,2,9,4,5,7,9,11,24,29,56,64,57,20,7,0,0
060002,3　女,2011,344,2,2,0,0,0,4,2,1,1,0,3,5,3,2,10,9,5,24,26,48,50,66,48,26,9,2,0
060002,3　女,2012,355,6,0,0,0,0,6,0,0,2,2,2,2,3,2,5,6,10,15,27,43,45,80,63,31,7,4,0
060002,3　女,2013,307,4,2,1,0,0,7,1,0,1,2,3,2,3,5,9,5,9,22,14,22,40,58,63,33,7,1,0
060002,3　女,2014,319,2,1,2,0,2,7,3,0,1,0,3,4,4,3,3,12,8,17,20,28,45,71,54,25,6,5,0
060002,3　女,2015,345,3,2,0,0,0,5,0,1,2,1,2,4,5,7,4,11,8,12,26,35,52,55,66,32,15,2,0
060002,3　女,2016,302,3,0,1,0,0,4,1,1,1,3,1,1,0,7,2,9,8,12,27,20,44,58,70,27,5,1,0
060002,3　女,2017,346,4,0,0,0,0,4,2,1,0,2,2,1,1,7,4,6,6,23,18,30,49,77,54,38,18,3,0
060003,3　女,1999,62,8,0,1,0,0,9,0,2,0,0,0,0,0,2,0,0,2,3,8,9,11,7,6,3,0,0,0
060003,3　女,2000,56,5,0,0,1,0,6,0,1,1,0,0,0,0,0,1,2,2,6,10,8,4,8,3,4,0,0,0
060003,3　女,2001,54,5,1,0,0,0,6,0,1,0,1,0,1,0,0,3,2,3,1,4,8,9,7,5,3,0,0,0
060003,3　女,2002,48,4,1,1,0,0,6,1,0,0,0,1,1,0,0,0,1,2,3,4,8,8,8,3,1,1,0,0
060003,3　女,2003,60,2,1,0,0,0,3,0,1,1,0,0,0,1,1,3,1,4,4,8,6,12,5,9,1,0,0,0
060003,3　女,2004,65,3,3,0,0,0,6,0,0,0,0,0,1,0,2,1,2,4,6,3,9,10,13,5,3,0,0,0
060003,3　女,2005,55,2,1,0,1,0,4,1,0,0,0,0,0,0,0,2,0,3,6,7,9,8,9,4,2,0,0,0
060003,3　女,2006,65,2,0,2,0,0,4,0,0,0,0,0,0,0,2,0,2,2,3,6,13,12,9,8,3,1,0,0
060003,3　女,2007,66,3,1,0,2,0,6,0,0,0,0,2,0,0,0,3,1,5,1,6,6,12,7,12,4,1,0,0
060003,3　女,2008,60,3,1,0,0,1,5,0,0,0,0,0,0,0,0,2,1,3,5,10,5,9,12,5,2,1,0,0
060003,3　女,2009,62,0,1,2,0,0,3,0,0,0,0,0,1,0,1,1,4,5,3,8,6,7,6,13,4,0,0,0
060003,3　女,2010,67,8,0,1,0,0,9,0,1,0,0,0,0,1,0,1,1,4,1,8,6,6,13,12,4,0,0,0
060003,3　女,2011,59,2,2,0,0,0,4,0,0,0,0,1,0,1,0,0,2,0,6,4,13,8,10,5,3,2,0,0
060003,3　女,2012,83,4,0,0,0,0,4,0,0,0,0,0,0,0,0,2,4,4,6,6,11,16,14,12,3,1,0,0
060003,3　女,2013,57,3,1,0,0,0,4,0,0,0,0,0,0,0,3,1,0,1,4,4,7,6,11,11,4,1,0,0
060003,3　女,2014,60,2,0,0,0,1,3,1,0,0,0,0,0,2,1,1,2,3,5,2,8,8,15,7,1,0,1,0
060003,3　女,2015,68,3,0,0,0,0,3,0,0,1,0,0,0,1,1,0,2,1,2,6,7,10,12,14,8,0,0,0
060003,3　女,2016,62,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,1,2,8,3,13,16,10,4,0,0,0
060003,3　女,2017,75,2,0,0,0,0,2,0,1,0,0,0,0,1,2,2,1,2,5,4,9,8,17,12,6,3,0,0
060004,3　女,1999,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
060004,3　女,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
060004,3　女,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
060004,3　女,2002,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
060004,3　女,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
