seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
060001,1総数,1999,9570,71,64,36,30,26,227,76,73,100,112,144,117,114,156,278,352,537,744,1113,1349,1485,1277,881,348,80,6,1
060001,1総数,2000,9567,60,46,34,36,16,192,54,63,99,119,116,95,116,135,224,366,438,679,1038,1453,1541,1292,1026,407,104,9,1
060001,1総数,2001,10146,53,42,17,18,19,149,44,44,92,101,119,118,90,131,195,421,466,660,1076,1499,1708,1513,1066,501,130,21,2
060001,1総数,2002,10465,53,51,21,23,19,167,50,40,101,105,90,107,107,133,214,374,445,658,1027,1511,1837,1577,1202,552,148,20,0
060001,1総数,2003,11056,38,52,34,17,19,160,37,34,97,98,131,99,130,134,179,345,469,696,1056,1582,1935,1713,1312,663,159,25,2
060001,1総数,2004,11902,48,36,18,15,11,128,40,49,82,84,118,127,110,132,165,352,532,728,1050,1605,2141,1952,1512,749,215,30,1
060001,1総数,2005,13004,33,42,31,22,17,145,48,44,68,118,98,110,103,119,189,345,569,811,1163,1793,2346,2284,1521,851,250,23,6
060001,1総数,2006,14251,36,33,27,8,15,119,62,38,71,96,97,146,120,122,208,337,637,778,1187,1799,2583,2569,1896,1028,307,50,1
060001,1総数,2007,15303,32,28,16,14,17,107,38,50,76,100,102,114,109,165,195,320,675,834,1225,1948,2740,2896,2066,1118,365,60,0
060001,1総数,2008,16607,39,29,18,11,17,114,34,39,68,99,84,126,134,159,201,284,609,822,1251,1972,2926,3326,2488,1333,480,58,0
060001,1総数,2009,17243,41,36,14,9,6,106,37,36,58,91,86,107,129,144,196,280,537,833,1357,1962,2993,3487,2694,1498,526,84,2
060001,1総数,2010,19429,40,38,10,13,11,112,28,34,58,77,78,104,149,155,205,300,537,972,1372,2119,3219,4034,3275,1813,684,104,0
060001,1総数,2011,21998,35,34,18,18,11,116,36,35,72,78,83,94,119,153,233,302,514,1066,1416,2176,3678,4598,4014,2239,836,139,1
060001,1総数,2012,24361,48,26,6,18,13,111,44,45,54,81,89,98,106,164,181,301,533,1072,1483,2273,3842,5084,4757,2831,1021,189,2
060001,1総数,2013,26885,39,25,21,13,9,107,24,36,52,71,79,104,121,148,207,310,524,1025,1559,2525,4116,5676,5448,3227,1304,220,2
060001,1総数,2014,28384,38,21,20,10,9,98,34,40,52,63,92,92,107,165,211,326,434,1036,1612,2596,4124,5727,5962,3904,1432,276,1
060001,1総数,2015,30911,39,38,11,20,6,114,39,27,53,66,79,84,129,178,212,307,482,1000,1811,2721,4202,6213,6788,4359,1722,323,2
060001,1総数,2016,33357,33,27,10,10,6,86,37,35,56,73,72,81,105,158,220,348,502,912,1984,2663,4422,6749,7375,5111,1993,374,1
060001,1総数,2017,45024,28,24,14,13,10,89,25,40,62,78,86,96,122,191,260,409,605,1103,2482,3433,6160,9357,9992,7181,2762,489,2
060002,1総数,1999,1011,23,5,3,8,5,44,8,6,12,12,23,22,24,34,45,57,90,95,118,131,104,91,58,31,4,1,1
060002,1総数,2000,882,13,7,3,5,2,30,5,7,9,14,14,8,13,24,49,42,56,80,120,111,107,87,65,29,10,1,1
