seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
090001,3　女,1999,159444,53,15,11,10,5,94,26,45,61,85,145,218,311,606,1349,2070,2894,4464,7755,12736,21823,31507,38358,25274,8481,1134,8
090001,3　女,2000,153709,59,23,7,3,6,98,19,30,52,78,135,233,329,590,1144,2135,2748,4106,7217,12054,20290,29754,37004,25724,8671,1288,10
090001,3　女,2001,154412,66,18,12,6,5,107,17,31,52,77,127,247,331,554,1062,2282,2612,3853,6929,11722,19879,29251,37029,27474,9253,1513,10
090001,3　女,2002,155751,68,20,10,8,6,112,26,26,57,88,130,259,350,540,1023,2122,2603,3975,6874,11421,19540,29163,36416,29061,10179,1780,6
090001,3　女,2003,160913,70,14,10,11,15,120,24,33,63,81,132,209,337,547,912,1955,2786,3918,6484,11505,19906,29962,37393,30867,11575,2098,6
090001,3　女,2004,160981,68,14,6,7,10,105,10,28,43,74,116,234,361,568,979,1820,2760,3932,6161,11048,19103,30158,36555,31627,12922,2365,12
090001,3　女,2005,170207,59,9,9,7,5,89,19,26,41,82,115,216,388,540,944,1718,2870,3998,6299,11404,19714,31583,38082,34741,14675,2651,12
090001,3　女,2006,168999,44,17,8,11,4,84,17,28,48,61,109,204,332,577,908,1521,2924,3602,5763,10806,19048,31085,38434,34860,15645,2932,11
090001,3　女,2007,171218,43,18,3,10,2,76,20,18,37,59,95,232,369,554,932,1424,2709,3498,5587,10563,18616,30859,39178,35879,17236,3269,8
090001,3　女,2008,174909,31,14,6,3,5,59,26,15,32,67,109,167,364,589,881,1347,2524,3575,5503,10277,18369,31053,40703,36874,18632,3737,6
090001,3　女,2009,171869,40,13,10,4,4,71,22,21,38,64,81,170,370,584,860,1322,2171,3607,5377,9275,17522,30211,40775,36185,19093,4045,5
090001,3　女,2010,178864,33,20,6,3,1,63,16,23,31,52,76,160,358,517,829,1315,1975,3710,5423,9018,17879,30742,42631,38598,20848,4583,17
090001,3　女,2011,183696,32,21,10,3,3,69,16,22,27,52,78,156,353,606,892,1169,1890,3990,5203,9057,17651,31243,44011,40413,21685,5104,9
090001,3　女,2012,184889,28,12,10,6,7,63,13,26,35,48,81,144,314,537,826,1185,1716,3703,5251,8918,17332,30793,44472,41970,22145,5309,8
090001,3　女,2013,183163,29,11,6,5,6,57,14,17,25,39,78,155,257,554,850,1152,1707,3346,5119,8455,16111,30487,44777,42535,22059,5357,12
