seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
090001,2　男,1999,149937,91,18,8,6,7,130,36,44,122,238,399,578,992,1691,3426,5500,7321,10365,15423,20622,21928,25158,22442,10659,2509,276,78
090001,2　男,2000,144629,75,23,13,5,7,123,26,49,106,218,388,614,927,1532,3148,5666,7210,9996,14454,19913,21660,23522,21519,10635,2558,300,65
090001,2　男,2001,145694,79,26,10,8,9,132,37,48,119,217,383,617,1009,1555,2961,6075,6929,9724,14219,20028,22727,23120,21518,11273,2629,301,73
090001,2　男,2002,147338,86,16,10,5,3,120,29,31,105,214,377,627,1006,1642,2771,6024,7041,9536,14228,19921,23839,22988,21723,11710,2957,371,78
090001,2　男,2003,151469,74,18,15,3,3,113,26,50,123,221,347,644,1005,1624,2748,5873,7478,9977,14078,20071,25240,23451,22199,12445,3255,429,72
090001,2　男,2004,149913,85,11,10,7,8,121,28,32,94,197,315,686,1005,1609,2737,5050,7463,10137,13533,19432,25454,24091,20939,12870,3629,428,63
090001,2　男,2005,159268,90,13,8,6,7,124,24,34,98,185,333,602,1044,1668,2687,4899,8441,10444,13524,20260,27189,26727,22371,13945,4116,478,75
090001,2　男,2006,155787,40,18,15,6,8,87,22,43,81,158,278,609,988,1587,2670,4426,8628,9822,12869,19185,26537,27204,21865,13872,4310,496,50
090001,2　男,2007,156268,45,16,8,4,1,74,21,34,72,161,282,589,1070,1717,2541,4108,8100,9590,13027,18785,26075,28957,22059,13958,4441,555,52
090001,2　男,2008,160062,46,14,13,7,2,82,30,23,83,125,244,533,1003,1709,2423,4070,7774,10171,12979,18556,26763,30675,23132,14211,4766,668,42
090001,2　男,2009,157862,51,20,8,5,8,92,23,22,72,161,233,475,1017,1710,2595,3930,7093,10095,13125,17454,25652,30836,23756,13800,5014,652,55
090001,2　男,2010,163018,44,14,12,3,7,80,18,35,60,113,246,472,979,1599,2485,3642,6602,10910,13229,17421,25951,32467,25845,14832,5209,773,50
090001,2　男,2011,165140,37,11,8,6,4,66,19,30,69,124,210,422,949,1710,2424,3858,5898,11393,12727,17382,25657,32946,27782,15186,5443,791,54
090001,2　男,2012,166023,43,12,5,6,5,71,16,21,50,107,192,394,917,1723,2396,3563,5698,11089,12644,17223,25407,32835,29835,15484,5517,784,57
090001,2　男,2013,162525,40,13,8,2,4,67,19,29,46,110,184,331,850,1674,2474,3517,5276,9961,12740,16900,24033,32596,30295,15265,5252,847,59
090001,2　男,2014,161823,24,12,8,4,3,51,15,29,61,132,153,376,707,1724,2407,3548,5035,9180,13127,17294,23456,31699,30821,15936,5160,860,52
090001,2　男,2015,160357,31,12,6,1,8,58,25,19,52,76,159,294,693,1632,2478,3542,4798,8479,13507,16657,22455,31192,31071,16944,5290,895,41
090001,2　男,2016,161575,24,10,9,5,5,53,13,21,45,104,149,313,659,1543,2568,3521,4944,7785,14480,15802,22183,31051,31303,18528,5476,983,51
090001,2　男,2017,166545,16,9,3,4,2,34,14,25,43,83,144,309,614,1490,2637,3499,4783,7356,14445,16127,22956,31407,32969,20646,5924,1005,35
090002,2　男,1999,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
090002,2　男,2000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
090002,2　男,2001,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0
090002,2　男,2002,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0
