seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
090001,1総数,1999,309381,144,33,19,16,12,224,62,89,183,323,544,796,1303,2297,4775,7570,10215,14829,23178,33358,43751,56665,60800,35933,10990,1410,86
090001,1総数,2000,298338,134,46,20,8,13,221,45,79,158,296,523,847,1256,2122,4292,7801,9958,14102,21671,31967,41950,53276,58523,36359,11229,1588,75
090001,1総数,2001,300106,145,44,22,14,14,239,54,79,171,294,510,864,1340,2109,4023,8357,9541,13577,21148,31750,42606,52371,58547,38747,11882,1814,83
090001,1総数,2002,303089,154,36,20,13,9,232,55,57,162,302,507,886,1356,2182,3794,8146,9644,13511,21102,31342,43379,52151,58139,40771,13136,2151,84
090001,1総数,2003,312382,144,32,25,14,18,233,50,83,186,302,479,853,1342,2171,3660,7828,10264,13895,20562,31576,45146,53413,59592,43312,14830,2527,78
090001,1総数,2004,310894,153,25,16,14,18,226,38,60,137,271,431,920,1366,2177,3716,6870,10223,14069,19694,30480,44557,54249,57494,44497,16551,2793,75
090001,1総数,2005,329475,149,22,17,13,12,213,43,60,139,267,448,818,1432,2208,3631,6617,11311,14442,19823,31664,46903,58310,60453,48686,18791,3129,87
090001,1総数,2006,324786,84,35,23,17,12,171,39,71,129,219,387,813,1320,2164,3578,5947,11552,13424,18632,29991,45585,58289,60299,48732,19955,3428,61
090001,1総数,2007,327486,88,34,11,14,3,150,41,52,109,220,377,821,1439,2271,3473,5532,10809,13088,18614,29348,44691,59816,61237,49837,21677,3824,60
090001,1総数,2008,334971,77,28,19,10,7,141,56,38,115,192,353,700,1367,2298,3304,5417,10298,13746,18482,28833,45132,61728,63835,51085,23398,4405,48
090001,1総数,2009,329731,91,33,18,9,12,163,45,43,110,225,314,645,1387,2294,3455,5252,9264,13702,18502,26729,43174,61047,64531,49985,24107,4697,60
090001,1総数,2010,341882,77,34,18,6,8,143,34,58,91,165,322,632,1337,2116,3314,4957,8577,14620,18652,26439,43830,63209,68476,53430,26057,5356,67
090001,1総数,2011,348836,69,32,18,9,7,135,35,52,96,176,288,578,1302,2316,3316,5027,7788,15383,17930,26439,43308,64189,71793,55599,27128,5895,63
090001,1総数,2012,350912,71,24,15,12,12,134,29,47,85,155,273,538,1231,2260,3222,4748,7414,14792,17895,26141,42739,63628,74307,57454,27662,6093,65
090001,1総数,2013,345688,69,24,14,7,10,124,33,46,71,149,262,486,1107,2228,3324,4669,6983,13307,17859,25355,40144,63083,75072,57800,27311,6204,71
090001,1総数,2014,341795,61,19,15,6,4,105,33,46,83,165,224,509,950,2270,3205,4714,6637,12233,18133,25796,38962,60795,74868,59201,26466,6336,64
090001,1総数,2015,339134,58,27,13,4,10,112,38,35,78,113,218,401,931,2175,3315,4684,6196,11228,18666,25095,37100,59491,74586,60263,27723,6635,51
090001,1総数,2016,339847,47,20,12,9,5,93,23,33,65,153,213,402,900,2145,3401,4608,6396,10224,19857,23626,36535,58874,73758,63099,28484,6887,71
090001,1総数,2017,350966,31,18,8,6,5,68,25,35,75,118,201,415,809,2025,3490,4642,6162,9696,19826,23719,37274,59448,77350,67184,31087,7269,48
090002,1総数,1999,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,2,2,1,2,0,0,0
090002,1総数,2000,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,1,0,0,0
090002,1総数,2001,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,3,3,3,5,0,1,0,0
090002,1総数,2002,19,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,0,0,1,2,3,4,2,2,0,0,0
090002,1総数,2003,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,3,4,2,0,0,0,0
090002,1総数,2004,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,5,3,3,5,5,1,1,0,0,0
090002,1総数,2005,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,3,6,3,3,0,0,0,0
090002,1総数,2006,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,6,3,2,1,1,0,0
090002,1総数,2007,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,3,1,5,1,1,0
090002,1総数,2008,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,5,3,3,1,1,0,0
090002,1総数,2009,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,4,2,5,1,3,0,0
090002,1総数,2010,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,3,2,2,2,0,0
090002,1総数,2011,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,4,2,1,0,0,0
090002,1総数,2012,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,5,1,1,0,0
090002,1総数,2013,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,7,4,1,0,0,0
090002,1総数,2014,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3,2,1,0,0,0
090002,1総数,2015,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,2,4,3,6,1,0,0
090002,1総数,2016,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,2,1,4,2,0,0,0,0
090002,1総数,2017,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,6,1,1,0,0
090003,1総数,1999,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0
090003,1総数,2000,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0
090003,1総数,2001,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,3,0,0,0,0
090003,1総数,2002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,2,1,0,0,0,0
090003,1総数,2003,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,1,0,0,0,0
090003,1総数,2004,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,1,1,0,0,0,0
090003,1総数,2005,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,3,0,0,0,0,0
