seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
100001,2　男,1999,80132,100,60,36,22,17,235,39,36,68,97,103,137,153,236,492,882,1600,2739,5534,9788,12951,17050,16646,8650,2370,305,21
100001,2　男,2000,75544,94,49,24,17,13,197,39,39,36,70,77,101,141,215,376,787,1316,2544,5015,9392,12311,15878,15722,8681,2283,306,18
100001,2　男,2001,74931,90,45,22,17,19,193,30,23,50,57,89,111,136,158,331,757,1310,2297,4767,8987,12654,15182,15884,9186,2398,315,16
100001,2　男,2002,76622,87,37,25,21,11,181,36,28,48,67,68,108,129,181,318,811,1156,2334,4517,8967,13578,15332,16098,9640,2643,360,22
100001,2　男,2003,82427,78,33,25,12,16,164,29,26,43,52,84,110,145,172,302,779,1231,2424,4699,9405,14985,16578,16995,10694,3060,436,14
100001,2　男,2004,83381,85,33,26,19,13,176,23,29,46,62,69,118,120,150,277,645,1245,2443,4353,8959,15511,17370,16644,11243,3395,493,10
100001,2　男,2005,92157,84,49,20,18,8,179,28,25,32,56,81,104,134,186,313,724,1376,2626,4582,9476,16827,19570,18534,12599,4094,595,16
100001,2　男,2006,90080,87,37,16,15,10,165,26,13,31,54,49,101,118,169,252,594,1372,2299,4432,8962,16196,19973,18033,12645,4056,531,9
100001,2　男,2007,93582,81,42,13,14,6,156,34,20,27,54,56,84,138,159,274,559,1426,2327,4443,8973,16350,21776,18557,13057,4496,603,13
100001,2　男,2008,98131,74,25,13,11,17,140,25,19,39,40,55,70,118,160,279,523,1377,2402,4567,8936,16881,23819,19670,13486,4831,678,16
100001,2　男,2009,98297,49,23,23,6,7,108,28,27,20,35,58,73,120,182,270,476,1232,2409,4617,8663,16406,24398,20710,13026,4720,708,11
100001,2　男,2010,105262,56,24,19,12,11,122,19,15,34,32,54,87,129,211,250,504,1199,2616,4651,8723,16822,25848,23525,14124,5424,856,17
100001,2　男,2011,111296,70,31,15,5,12,133,26,16,26,34,63,75,120,184,285,505,1196,2931,4831,9045,17569,26998,25816,14916,5632,881,14
100001,2　男,2012,113518,61,15,13,10,8,107,37,26,24,43,46,67,107,169,270,514,1047,2931,4713,9269,17265,27232,27915,15167,5674,876,19
100001,2　男,2013,115149,60,27,19,13,8,127,29,13,23,35,47,56,112,172,256,510,1008,2851,4818,9168,17159,27451,29291,15569,5565,873,16
100001,2　男,2014,115235,52,28,17,8,6,111,27,18,14,26,51,61,109,179,275,520,985,2687,4924,9378,16451,26792,30059,16351,5339,863,15
100001,2　男,2015,118495,55,28,17,7,6,113,20,12,17,36,42,73,103,168,272,483,923,2369,5202,9531,16386,26788,31187,18146,5637,980,7
100001,2　男,2016,120238,57,22,9,13,10,111,19,16,17,18,43,60,112,176,307,480,919,2287,5605,9046,16338,26974,31333,19395,5952,1019,11
100001,2　男,2017,110890,22,14,7,3,4,50,11,6,14,15,18,44,64,110,237,386,728,1760,4974,8130,14776,24149,29149,19473,5838,943,15
100002,2　男,1999,320,4,2,2,0,2,10,1,0,0,3,5,1,6,10,7,10,13,9,19,29,27,51,61,42,11,4,1
100002,2　男,2000,227,7,2,1,1,0,11,0,2,0,0,1,2,4,3,3,8,8,16,12,36,24,26,29,28,13,1,0
100002,2　男,2001,182,1,3,2,1,2,9,3,1,2,1,0,4,5,4,3,8,8,11,17,20,16,26,18,19,4,3,0
100002,2　男,2002,189,4,3,0,0,1,8,2,0,2,0,2,2,4,5,6,6,8,11,19,19,14,17,30,26,8,0,0
100002,2　男,2003,173,3,1,0,1,0,5,0,3,2,2,2,2,4,4,5,6,10,8,11,15,16,35,14,20,7,2,0
100002,2　男,2004,147,4,0,4,0,1,9,0,1,0,1,4,4,3,1,5,4,10,2,15,11,17,15,19,19,6,1,0
100002,2　男,2005,161,4,2,1,1,0,8,1,0,1,0,0,4,1,2,5,9,10,10,11,13,15,27,24,14,4,2,0
100002,2　男,2006,118,1,1,1,1,0,4,0,1,0,0,0,4,3,4,4,8,8,8,5,15,13,15,11,7,7,1,0
100002,2　男,2007,98,0,2,0,1,0,3,1,0,0,2,1,5,2,0,5,4,13,4,8,5,16,7,9,8,5,0,0
100002,2　男,2008,112,0,3,1,1,3,8,1,0,1,1,0,2,3,5,4,7,6,8,7,8,14,9,11,10,7,0,0
100002,2　男,2009,78,1,0,0,0,1,2,0,0,1,0,0,1,1,2,2,2,5,4,4,6,8,19,11,9,1,0,0
100002,2　男,2010,70,0,1,0,0,1,2,0,1,0,2,1,8,2,3,2,3,7,3,8,4,2,10,5,5,2,0,0
100002,2　男,2011,86,0,1,1,0,1,3,0,0,0,2,2,1,0,2,0,5,5,7,6,8,14,10,9,10,1,1,0
100002,2　男,2012,88,2,2,1,1,0,6,1,1,0,1,1,2,2,3,1,3,4,8,3,10,11,9,17,1,2,2,0
100002,2　男,2013,85,1,2,1,0,0,4,0,0,1,1,1,0,6,3,2,3,7,7,5,4,10,13,11,3,1,3,0
100002,2　男,2014,90,2,0,0,0,0,2,1,1,1,0,0,3,1,1,4,0,9,5,9,7,15,15,9,7,0,0,0
100002,2　男,2015,83,0,0,1,0,0,1,1,1,0,1,0,1,3,4,0,4,6,6,10,6,10,10,8,10,1,0,0
100002,2　男,2016,80,2,2,0,0,0,4,1,1,0,0,1,0,2,2,4,2,5,4,8,8,9,11,10,6,1,1,0
100002,2　男,2017,73,0,0,0,0,0,0,1,0,1,0,1,0,1,6,4,3,4,4,4,6,6,13,8,8,2,1,0
100003,2　男,1999,127,2,1,0,0,1,4,0,0,0,3,3,1,1,4,1,3,3,5,8,10,11,23,27,14,4,1,1
100003,2　男,2000,79,4,0,0,0,0,4,0,0,0,0,0,1,2,1,2,2,2,3,2,12,9,11,10,10,7,1,0
100003,2　男,2001,55,0,1,0,0,0,1,0,0,0,1,0,0,2,1,0,4,4,1,5,5,5,6,7,9,3,1,0
100003,2　男,2002,54,0,0,0,0,0,0,0,0,1,0,1,1,0,2,2,0,1,4,4,5,6,5,9,9,4,0,0
100003,2　男,2003,57,3,0,0,0,0,3,0,1,1,1,1,1,0,2,0,1,1,3,4,7,5,11,2,8,4,1,0
100003,2　男,2004,33,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,5,1,4,4,5,6,3,1,0
100003,2　男,2005,35,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,1,3,4,2,4,4,5,4,1,1,0
100003,2　男,2006,33,0,0,1,1,0,2,0,1,0,0,0,1,0,0,0,1,0,2,2,3,4,9,1,3,4,0,0
100003,2　男,2007,24,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,1,3,0,2,1,5,0,2,3,2,0,0
100003,2　男,2008,24,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,0,3,4,2,7,1,1,0,0
100003,2　男,2009,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,5,4,0,0,0
100003,2　男,2010,12,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,1,5,0,1,0,0,0
100003,2　男,2011,17,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1,1,2,1,5,1,1,1,0
100003,2　男,2012,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,5,0,1,0,0
100003,2　男,2013,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,2,2,1,2,1,0,0,0
100003,2　男,2014,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,1,2,0,0,0
100003,2　男,2015,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,3,0,0,0
100003,2　男,2016,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,1,2,1,0,0,0
100003,2　男,2017,9,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,1,0,1,0,0
100004,2　男,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004,2　男,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004,2　男,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004,2　男,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100004,2　男,2003,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
100004,2　男,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004,2　男,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004,2　男,2006,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100004,2　男,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
100004,2　男,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100004,2　男,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100004,2　男,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
