seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
100001,1総数,1999,144320,159,106,68,53,35,421,64,70,110,152,172,221,245,386,721,1260,2187,3805,7627,13780,20584,29524,33580,21078,7144,1167,22
100001,1総数,2000,134501,160,87,56,34,28,365,71,63,69,108,128,189,225,326,570,1134,1854,3500,6892,12985,19113,26988,31095,20589,7019,1197,21
100001,1総数,2001,134005,157,74,40,37,27,335,50,46,73,86,136,177,225,262,505,1088,1818,3160,6490,12342,19347,25996,31237,21853,7379,1384,16
100001,1総数,2002,136891,148,70,49,35,23,325,67,48,73,107,111,188,211,275,455,1153,1654,3220,6204,12281,20176,26230,31275,23163,8068,1582,25
100001,1総数,2003,147848,144,66,44,29,29,312,60,43,69,80,134,184,225,277,454,1117,1745,3287,6344,12870,21843,28278,33275,25867,9554,1814,16
100001,1総数,2004,149293,135,70,40,26,17,288,43,41,70,91,112,172,210,232,423,938,1736,3329,5927,12168,22105,29183,32600,27062,10457,2090,16
100001,1総数,2005,165999,147,82,37,33,16,315,53,53,62,83,120,161,232,276,463,989,1904,3513,6252,13045,23904,32390,36327,30604,12739,2498,16
100001,1総数,2006,162907,143,63,32,30,17,285,45,21,46,94,81,168,197,254,360,854,1923,3068,5951,12307,23062,32484,35496,30676,13079,2444,12
100001,1総数,2007,168078,135,72,31,27,17,282,65,30,52,85,95,142,201,233,410,776,1937,3096,6034,12196,23168,34543,36627,31191,14103,2799,13
100001,1総数,2008,175976,144,54,34,20,23,275,56,34,65,60,83,120,193,255,420,749,1860,3130,6069,12153,23840,36868,38875,32417,15328,3108,18
100001,1総数,2009,175028,106,40,32,17,12,207,62,47,39,59,92,123,211,282,397,664,1672,3133,6082,11626,22904,37242,39922,31584,15382,3283,15
100001,1総数,2010,187609,98,48,36,22,15,219,41,31,50,59,81,130,206,296,359,702,1604,3447,6118,11849,23599,39295,44227,34144,17261,3873,18
100001,1総数,2011,198395,130,62,31,16,23,262,49,33,45,60,95,124,202,282,446,710,1587,3856,6291,12212,24615,40968,47808,36699,17811,4224,16
100001,1総数,2012,201798,125,39,28,16,15,223,62,38,42,61,70,103,170,254,390,696,1400,3783,6162,12411,24247,41414,50268,37469,18337,4179,19
100001,1総数,2013,203673,107,48,32,18,13,218,39,24,39,53,77,94,169,262,389,707,1369,3667,6340,12333,23961,41633,51764,38205,18053,4257,20
100001,1総数,2014,202628,99,52,30,16,13,210,43,33,23,42,74,98,170,283,417,712,1327,3552,6401,12645,23142,40358,52382,39232,17250,4215,19
100001,1総数,2015,208400,95,43,30,12,10,190,41,26,33,54,67,111,152,253,385,689,1209,3067,6786,12706,22955,40750,53992,42102,18390,4432,10
100001,1総数,2016,208603,96,39,21,17,17,190,40,35,33,40,62,88,150,273,428,691,1257,2967,7234,12086,22738,40480,53351,43232,18637,4579,12
100001,1総数,2017,189601,47,26,13,6,8,100,22,10,25,19,28,67,97,173,322,519,957,2323,6338,10537,20302,35658,48672,40989,18183,4242,18
100002,1総数,1999,734,6,4,4,3,3,20,1,0,3,3,5,3,7,11,9,13,20,17,34,52,60,108,161,133,60,13,1
100002,1総数,2000,510,11,5,3,1,1,21,1,3,1,1,2,4,5,4,5,9,14,23,20,48,53,77,81,87,42,9,0
100002,1総数,2001,429,3,6,5,3,3,20,3,1,3,3,1,5,5,6,3,9,11,19,29,31,33,51,75,78,33,10,0
100002,1総数,2002,430,8,7,3,2,2,22,4,0,4,0,3,2,6,5,9,9,9,22,29,30,30,42,69,91,36,8,0
100002,1総数,2003,410,5,5,0,1,0,11,1,5,4,2,2,3,6,6,8,11,15,9,14,24,35,68,66,75,38,7,0
100002,1総数,2004,343,5,1,4,0,1,11,1,4,0,2,4,4,5,3,6,7,13,6,17,17,34,43,65,68,27,6,0
100002,1総数,2005,397,7,3,1,3,1,15,1,1,2,0,1,5,1,2,6,11,12,17,20,28,30,63,69,69,35,9,0
100002,1総数,2006,266,3,4,3,2,0,12,0,1,0,1,0,4,5,5,6,11,9,10,8,25,21,33,42,37,33,3,0
100002,1総数,2007,222,2,2,1,2,2,9,2,0,0,2,2,5,2,0,7,4,15,8,16,8,23,28,31,34,24,2,0
100002,1総数,2008,222,0,5,1,1,3,10,1,0,1,1,0,3,3,7,5,7,10,11,9,13,23,25,35,27,26,5,0
100002,1総数,2009,168,1,0,0,0,1,2,0,0,1,0,0,2,1,3,3,2,7,9,10,8,15,33,22,27,15,8,0
100002,1総数,2010,164,0,1,0,0,1,2,1,1,0,2,1,8,2,4,3,4,8,7,11,6,6,28,25,28,11,6,0
100002,1総数,2011,176,1,1,1,0,2,5,1,0,0,2,2,1,0,3,1,8,8,12,9,12,18,25,25,29,8,7,0
100002,1総数,2012,194,6,3,1,1,0,11,1,1,0,1,1,2,2,3,1,5,8,12,9,13,22,24,33,27,13,5,0
100002,1総数,2013,163,2,3,1,0,1,7,0,0,1,1,1,1,6,3,2,3,10,8,7,6,17,24,23,20,10,13,0
100002,1総数,2014,165,3,2,0,0,1,6,2,1,1,1,0,3,1,2,5,1,9,8,10,10,19,20,30,21,10,5,0
100002,1総数,2015,169,0,0,1,1,0,2,1,1,0,1,0,2,3,5,1,5,6,9,13,8,16,16,26,35,15,4,0
100002,1総数,2016,166,2,4,0,1,0,7,1,2,0,0,2,0,2,2,5,2,6,6,12,11,17,24,24,24,14,5,0
100002,1総数,2017,159,0,0,0,0,0,0,2,0,1,0,1,0,1,7,6,4,5,5,6,10,11,23,28,30,14,5,0
100003,1総数,1999,294,3,2,1,1,1,8,0,0,0,3,3,2,2,4,2,5,4,9,13,16,21,46,63,58,29,5,1
100003,1総数,2000,184,5,1,0,0,0,6,0,0,0,0,0,1,2,1,2,2,3,3,6,18,16,33,31,34,21,5,0
100003,1総数,2001,135,1,2,1,2,0,6,0,0,0,1,0,1,2,2,0,4,5,3,10,12,7,17,23,28,11,3,0
100003,1総数,2002,146,0,1,0,0,0,1,0,0,1,0,1,1,1,2,4,0,2,9,7,11,12,14,24,35,18,3,0
100003,1総数,2003,147,4,0,0,0,0,4,0,1,1,1,1,1,1,2,1,3,2,3,5,12,14,28,21,32,12,2,0
100003,1総数,2004,100,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,3,1,1,6,4,13,10,24,22,10,1,0
100003,1総数,2005,125,4,0,0,0,0,4,1,1,0,0,1,1,0,0,1,3,2,4,5,9,10,15,26,27,13,2,0
100003,1総数,2006,83,1,0,1,1,0,3,0,1,0,1,0,1,1,0,0,2,0,3,4,5,6,17,13,13,11,2,0
100003,1総数,2007,48,1,0,0,0,1,2,0,0,0,1,0,2,1,0,1,1,3,0,3,1,6,0,7,13,7,0,0
100003,1総数,2008,50,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,2,1,3,5,8,15,4,5,0,0
100003,1総数,2009,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,4,9,9,3,3,0
100003,1総数,2010,37,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,2,1,0,2,12,4,6,4,1,0
100003,1総数,2011,44,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,3,1,5,10,8,6,3,3,0
100003,1総数,2012,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,10,8,4,0,0
100003,1総数,2013,31,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,1,0,1,3,4,2,5,6,2,2,0
100003,1総数,2014,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,4,4,4,4,1,0,0
100003,1総数,2015,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,6,9,3,0,0
100003,1総数,2016,36,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4,2,5,4,7,8,0,3,0
100003,1総数,2017,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,2,1,3,2,1,6,1,0
100004,1総数,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
