seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
110001,1総数,1999,38866,75,11,5,2,4,97,12,10,23,48,91,171,314,686,1477,2102,2784,3275,4017,4384,4621,5223,5375,3009,1005,125,17
110001,1総数,2000,38268,78,7,3,3,2,93,12,17,24,38,74,162,322,610,1292,2214,2663,3202,3866,4296,4619,5143,5246,3181,1026,145,23
110001,1総数,2001,38556,65,5,2,3,4,79,9,10,22,39,70,164,353,629,1165,2295,2399,3118,3896,4314,4869,5018,5344,3511,1050,176,26
110001,1総数,2002,38452,50,9,7,5,4,75,7,22,24,21,72,159,338,624,1100,2203,2342,3015,3707,4253,4980,5240,5275,3694,1105,185,11
110001,1総数,2003,39264,70,7,7,2,3,89,15,11,18,23,61,165,307,607,1048,2136,2423,3057,3638,4474,5084,5341,5435,3802,1289,219,22
110001,1総数,2004,40241,54,11,3,5,3,76,9,12,9,33,62,125,305,605,975,1872,2485,3099,3622,4482,5418,5571,5595,4189,1431,256,10
110001,1総数,2005,41802,65,8,7,5,3,88,12,16,17,31,65,139,313,582,1001,1741,2670,3088,3570,4715,5652,6045,5699,4402,1676,267,13
110001,1総数,2006,42429,73,8,3,3,6,93,14,4,22,24,54,165,307,580,981,1574,2699,2863,3544,4542,5849,6287,6031,4591,1877,315,13
110001,1総数,2007,43066,63,11,5,7,2,88,16,10,18,22,35,160,294,534,980,1498,2655,2779,3520,4677,5790,6681,6243,4715,2017,324,10
110001,1総数,2008,43802,63,8,2,3,3,79,8,10,14,30,45,138,313,554,1002,1393,2377,2886,3455,4643,5950,7034,6536,4920,2029,375,11
110001,1総数,2009,44172,60,14,5,4,3,86,8,6,18,26,49,115,300,598,979,1333,2218,2980,3591,4417,5853,7159,6929,4909,2168,418,12
110001,1総数,2010,45503,66,8,4,7,1,86,17,8,7,24,44,124,293,542,957,1347,2157,3112,3570,4416,5986,7298,7433,5244,2357,467,14
110001,1総数,2011,46755,57,15,6,7,3,88,15,9,18,12,39,95,272,568,901,1318,2028,3231,3421,4429,6051,7817,7856,5514,2561,502,10
110001,1総数,2012,47255,63,10,5,6,3,87,6,10,8,23,52,93,280,553,931,1304,1787,3144,3328,4352,5950,7984,8343,5863,2623,522,12
