seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
130001,2　男,1999,1374,2,0,0,1,0,3,3,1,5,8,9,11,14,20,36,45,78,135,193,263,191,170,123,52,14,0,0
130001,2　男,2000,1438,4,0,0,0,0,4,1,1,3,6,3,4,13,20,25,49,85,114,185,281,258,198,109,61,15,3,0
130001,2　男,2001,1471,0,2,0,0,1,3,0,0,3,2,8,10,17,23,33,55,70,130,188,290,259,186,124,57,13,0,0
130001,2　男,2002,1465,2,1,0,0,1,4,0,1,6,4,8,3,7,24,46,64,67,120,204,251,268,197,132,43,11,4,1
130001,2　男,2003,1451,0,0,0,1,1,2,3,2,3,3,3,9,10,9,27,56,85,119,155,295,305,193,105,51,16,0,0
130001,2　男,2004,1520,2,0,0,1,1,4,4,3,3,3,7,9,2,18,15,49,76,115,192,273,338,211,124,52,19,3,0
130001,2　男,2005,1566,0,0,1,0,1,2,0,0,3,5,1,12,7,12,25,53,90,116,207,269,302,244,135,68,14,1,0
130001,2　男,2006,1701,1,0,1,0,0,2,3,0,4,4,0,11,14,18,28,56,81,130,191,283,349,278,157,73,17,2,0
130001,2　男,2007,1831,0,1,0,0,0,1,1,0,2,5,2,9,16,18,24,36,103,119,214,277,392,332,186,69,21,4,0
130001,2　男,2008,1926,3,0,1,0,0,4,3,1,1,2,6,6,9,17,35,66,89,132,191,292,386,354,214,83,31,4,0
130001,2　男,2009,1937,1,2,0,2,0,5,3,0,1,0,5,7,14,18,24,40,97,158,216,325,370,350,212,61,25,6,0
130001,2　男,2010,2093,1,0,1,0,0,2,0,0,1,1,3,8,14,15,32,57,82,153,224,304,411,390,240,120,32,3,1
130001,2　男,2011,2172,4,0,1,0,0,5,1,1,2,1,0,8,12,26,27,45,85,149,241,286,410,431,280,126,32,4,0
130001,2　男,2012,2166,0,1,0,2,0,3,0,0,2,2,2,8,8,14,27,54,75,155,208,291,425,458,276,113,40,5,0
130001,2　男,2013,2248,0,0,0,2,1,3,0,0,1,4,6,4,13,13,27,50,62,160,219,280,448,472,336,114,32,4,0
130001,2　男,2014,2294,2,1,1,0,1,5,1,0,0,2,0,3,10,26,30,38,82,125,213,352,440,432,356,135,33,10,1
130001,2　男,2015,2308,2,0,1,0,0,3,0,0,1,1,4,1,10,20,21,42,63,121,221,312,437,487,378,138,43,5,0
130001,2　男,2016,2552,1,0,0,0,0,1,1,3,1,0,4,5,11,15,25,34,73,127,262,340,450,533,409,203,48,7,0
130001,2　男,2017,3284,0,0,0,0,0,0,1,2,1,1,2,4,11,26,32,41,68,129,304,385,614,707,590,284,70,12,0
130002,2　男,1999,511,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,12,26,59,84,108,82,68,37,17,5,0,0
130002,2　男,2000,532,0,0,0,0,0,0,0,1,0,0,0,0,1,5,4,6,32,34,80,112,112,81,40,20,3,1,0
130002,2　男,2001,527,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,15,23,40,73,113,113,70,48,16,7,0,0
130002,2　男,2002,478,0,0,0,0,1,1,0,1,0,0,1,0,1,1,5,10,13,42,71,94,113,65,41,14,4,1,0
130002,2　男,2003,471,0,0,0,0,1,1,0,0,0,0,2,0,0,1,3,6,18,29,50,110,115,74,44,13,5,0,0
130002,2　男,2004,506,1,0,0,0,0,1,1,0,0,1,3,0,0,2,3,8,20,35,54,115,137,74,34,14,4,0,0
130002,2　男,2005,506,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,11,22,38,70,95,117,81,42,24,0,1,0
130002,2　男,2006,461,0,0,0,0,0,0,0,0,1,1,0,2,2,1,3,6,14,30,54,89,106,86,42,17,5,2,0
130002,2　男,2007,497,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,5,20,27,58,90,117,100,50,11,7,2,0
130002,2　男,2008,493,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,7,17,25,52,86,134,92,57,10,7,0,0
130002,2　男,2009,511,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,9,19,31,68,102,111,87,52,17,8,1,0
130002,2　男,2010,540,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,9,12,33,65,83,121,101,73,30,4,1,0
130002,2　男,2011,566,0,0,1,0,0,1,0,1,0,0,0,0,0,4,1,6,11,40,72,90,109,127,74,24,5,1,0
130002,2　男,2012,507,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7,9,38,61,84,99,109,59,26,6,1,0
130002,2　男,2013,527,0,0,0,0,0,0,0,0,1,0,0,0,1,2,4,7,14,30,61,69,112,116,72,30,8,0,0
130002,2　男,2014,516,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6,13,25,46,99,106,90,87,27,7,4,0
130002,2　男,2015,511,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,7,12,23,56,90,96,105,75,24,15,3,0
130002,2　男,2016,577,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,2,12,33,63,89,107,131,81,39,13,0,0
130002,2　男,2017,899,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,7,14,34,90,118,198,193,152,73,14,1,0
130003,2　男,1999,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,5,2,2,1,3,1,0,0,0
130003,2　男,2000,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,2,7,6,4,2,1,0,1,0
130003,2　男,2001,43,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,7,6,8,4,7,4,1,0,0
130003,2　男,2002,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,4,3,5,8,2,2,1,0,0
130003,2　男,2003,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,2,7,3,7,4,3,1,0,0
130003,2　男,2004,48,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,2,2,4,11,9,7,3,0,0,0
130003,2　男,2005,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,6,9,7,8,8,1,0,0,0
130003,2　男,2006,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,3,6,7,7,8,3,2,0,0
130003,2　男,2007,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,9,7,8,9,1,1,0,0
130003,2　男,2008,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,8,16,10,4,2,1,0,0
130003,2　男,2009,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,6,8,7,2,4,8,2,2,1,0
130003,2　男,2010,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,11,14,7,17,7,2,1,0
130003,2　男,2011,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,9,7,19,12,6,1,1,0
130003,2　男,2012,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,6,5,12,17,12,5,2,0,0
130003,2　男,2013,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,4,7,7,10,13,9,6,3,0,0
130003,2　男,2014,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,5,7,4,9,17,6,2,1,0
130003,2　男,2015,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,6,7,12,9,12,5,4,0,0
130003,2　男,2016,70,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,6,7,6,9,16,13,7,1,0,0
130003,2　男,2017,88,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,11,9,14,16,16,11,3,1,0
130004,2　男,1999,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,5,2,2,1,3,1,0,0,0
130004,2　男,2000,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,2,7,6,4,2,1,0,1,0
130004,2　男,2001,43,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,7,6,8,4,7,4,1,0,0
130004,2　男,2002,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,8,4,3,5,8,2,2,1,0,0
130004,2　男,2003,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,2,7,3,7,4,3,1,0,0
130004,2　男,2004,48,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,5,2,2,4,11,9,7,3,0,0,0
130004,2　男,2005,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,1,6,9,7,8,8,1,0,0,0
130004,2　男,2006,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,3,6,7,7,8,3,2,0,0
130004,2　男,2007,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,5,9,7,8,9,1,1,0,0
130004,2　男,2008,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,8,16,10,4,2,1,0,0
130004,2　男,2009,48,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,6,8,7,2,4,8,2,2,1,0
130004,2　男,2010,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,11,14,7,17,7,2,1,0
130004,2　男,2011,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,9,7,19,12,6,1,1,0
130004,2　男,2012,70,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,6,6,5,12,17,12,5,2,0,0
130004,2　男,2013,67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,4,7,7,10,13,9,6,3,0,0
130004,2　男,2014,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,5,7,4,9,17,6,2,1,0
130004,2　男,2015,61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,6,7,12,9,12,5,4,0,0
130004,2　男,2016,70,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,6,7,6,9,16,13,7,1,0,0
130004,2　男,2017,88,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,11,9,14,16,16,11,3,1,0
130005,2　男,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130005,2　男,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130005,2　男,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130005,2　男,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130005,2　男,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130005,2　男,2004,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
130005,2　男,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130005,2　男,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130005,2　男,2007,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130005,2　男,2008,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0
130005,2　男,2009,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0
130005,2　男,2010,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0
130005,2　男,2011,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
130005,2　男,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
130005,2　男,2013,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130005,2　男,2014,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130005,2　男,2015,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
130005,2　男,2016,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
130005,2　男,2017,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0
130006,2　男,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
130006,2　男,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130006,2　男,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
