seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
140001,2　男,1999,10230,9,0,1,0,1,11,3,1,5,6,10,16,35,46,124,195,322,497,887,1293,1519,1967,1966,1010,276,35,6
140001,2　男,2000,9947,12,0,0,0,0,12,0,2,4,0,12,17,30,54,115,202,300,454,818,1224,1534,1855,1951,1090,243,28,2
140001,2　男,2001,10126,9,1,3,1,0,14,2,3,3,8,7,23,34,51,96,222,324,407,833,1270,1586,1809,2002,1119,270,40,3
140001,2　男,2002,10375,4,0,2,1,0,7,1,5,4,7,3,21,31,41,103,219,304,447,768,1267,1702,1959,2001,1147,301,34,3
140001,2　男,2003,10611,9,0,1,2,0,12,1,1,7,4,6,19,13,37,68,193,314,434,731,1270,1864,1946,2013,1311,328,37,2
140001,2　男,2004,10869,6,0,1,0,1,8,1,0,1,4,5,15,15,43,84,204,323,482,731,1253,1927,2047,1958,1339,379,47,3
140001,2　男,2005,11793,3,2,3,2,0,10,5,1,5,1,5,14,39,48,83,186,349,432,790,1333,2006,2297,2202,1463,461,61,2
140001,2　男,2006,12105,8,2,1,4,0,15,0,1,2,7,10,17,28,40,75,177,352,453,822,1321,1979,2436,2254,1568,480,65,3
140001,2　男,2007,12598,5,1,2,0,2,10,0,2,3,5,9,16,33,33,62,132,353,452,746,1345,2173,2740,2309,1571,529,72,3
140001,2　男,2008,13326,5,3,0,1,1,10,1,1,2,1,8,11,25,31,71,129,320,464,790,1341,2228,2954,2555,1694,590,98,2
140001,2　男,2009,13695,6,2,2,1,0,11,4,2,0,4,6,17,26,54,66,119,295,486,861,1331,2231,3013,2716,1716,641,96,0
