seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
170001,1総数,1999,2673,1411,138,54,34,19,1656,46,43,57,51,45,38,31,35,42,41,48,60,66,102,100,89,76,39,8,0,0
170001,1総数,2000,2702,1385,121,66,37,23,1632,60,40,52,52,47,28,32,27,40,64,54,57,84,97,101,98,83,40,11,3,0
170001,1総数,2001,2595,1305,125,55,32,23,1540,56,42,43,45,49,22,34,31,32,50,46,67,76,100,109,115,93,35,8,2,0
170001,1総数,2002,2577,1389,95,68,21,20,1593,40,40,48,42,41,29,23,32,39,49,52,60,52,99,100,112,75,39,11,1,0
170001,1総数,2003,2362,1224,91,38,27,18,1398,30,27,40,36,39,30,23,25,26,47,57,65,65,95,112,90,95,50,12,0,0
170001,1総数,2004,2469,1185,107,40,31,20,1383,26,33,40,39,46,39,27,44,41,55,55,66,75,97,122,121,108,44,7,1,0
170001,1総数,2005,2324,1025,97,47,21,19,1209,44,22,38,36,35,54,31,34,41,41,54,80,79,105,116,116,109,63,14,2,1
170001,1総数,2006,2306,1008,96,33,15,19,1171,47,34,30,43,38,46,30,27,32,52,69,51,75,90,115,151,103,72,27,3,0
170001,1総数,2007,2322,1046,89,30,24,15,1204,36,28,35,32,40,36,38,29,32,41,65,68,77,103,136,123,111,71,17,0,0
170001,1総数,2008,2186,999,89,42,20,9,1159,36,19,39,33,34,42,32,23,32,34,58,65,68,65,120,130,115,55,23,3,1
170001,1総数,2009,2070,897,91,29,28,12,1057,29,22,25,30,35,33,40,42,23,36,36,56,66,80,121,135,111,61,27,4,1
170001,1総数,2010,2194,916,86,45,17,14,1078,26,23,30,34,40,34,43,49,38,42,56,77,87,72,121,142,106,66,29,1,0
170001,1総数,2011,2102,862,79,40,26,16,1023,32,25,30,21,32,35,30,25,42,38,48,85,76,78,113,145,121,69,32,2,0
170001,1総数,2012,2041,815,99,35,36,10,995,35,12,28,24,36,27,49,32,40,32,37,82,63,78,120,121,131,75,22,2,0
170001,1総数,2013,2079,811,83,35,15,9,953,20,20,18,32,31,35,39,38,30,42,47,76,85,92,105,130,168,82,32,4,0
170001,1総数,2014,2042,751,83,29,17,17,897,37,24,28,31,31,25,29,43,31,42,51,79,80,100,103,130,160,90,25,6,0
170001,1総数,2015,2022,715,91,37,16,15,874,33,28,19,18,36,30,35,31,42,26,48,70,91,105,102,141,144,101,45,3,0
170001,1総数,2016,2020,663,79,40,15,16,813,32,27,26,36,22,32,33,46,40,48,41,79,99,90,113,139,170,91,33,10,0
170001,1総数,2017,2128,635,99,36,29,14,813,51,37,23,23,38,34,32,46,41,48,57,90,126,94,106,143,153,125,39,9,0
170002,1総数,1999,109,62,12,5,1,2,82,4,8,1,2,3,3,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0
170002,1総数,2000,147,66,21,10,4,6,107,9,4,5,6,5,2,2,0,0,1,1,1,1,2,1,0,0,0,0,0,0
170002,1総数,2001,129,67,12,6,7,2,94,7,7,8,2,2,0,0,2,1,0,1,2,2,0,0,1,0,0,0,0,0
170002,1総数,2002,131,52,9,8,6,6,81,9,7,10,2,3,1,1,3,0,1,1,1,1,3,3,2,1,0,1,0,0
170002,1総数,2003,104,53,4,3,2,1,63,4,6,2,4,3,4,1,0,1,0,3,2,2,7,2,0,0,0,0,0,0
170002,1総数,2004,123,57,16,3,9,5,90,1,1,8,2,3,1,1,1,2,3,0,2,1,0,3,1,3,0,0,0,0
170002,1総数,2005,119,56,16,7,4,2,85,5,4,4,7,0,2,0,1,0,1,1,2,1,3,2,1,0,0,0,0,0
170002,1総数,2006,95,41,8,1,1,3,54,10,6,1,6,2,2,1,1,0,3,1,0,3,3,0,1,0,0,1,0,0
170002,1総数,2007,107,51,7,10,3,3,74,5,3,2,2,5,1,2,1,1,1,3,1,1,2,2,1,0,0,0,0,0
170002,1総数,2008,117,56,7,4,3,3,73,6,2,11,5,3,1,2,2,3,1,0,0,0,3,2,1,2,0,0,0,0
170002,1総数,2009,83,38,5,4,6,1,54,5,6,2,0,2,2,2,2,1,0,0,0,2,1,3,1,0,0,0,0,0
170002,1総数,2010,105,42,13,4,3,3,65,5,5,3,4,1,2,1,1,3,3,0,0,4,0,4,2,1,1,0,0,0
170002,1総数,2011,102,36,7,6,4,3,56,6,2,3,3,3,6,3,1,2,1,2,1,4,3,1,4,0,1,0,0,0
170002,1総数,2012,99,48,5,6,6,1,66,5,0,6,1,2,1,2,3,1,1,1,4,1,0,2,1,2,0,0,0,0
170002,1総数,2013,90,33,2,6,5,1,47,4,3,3,6,3,2,0,3,0,2,3,4,2,2,3,2,1,0,0,0,0
170002,1総数,2014,102,47,6,0,2,2,57,8,4,2,6,3,3,4,4,1,1,1,2,2,3,1,0,0,0,0,0,0
170002,1総数,2015,89,34,6,2,0,3,45,6,6,6,3,1,1,3,0,3,2,2,3,2,1,1,3,0,1,0,0,0
170002,1総数,2016,85,29,2,1,4,3,39,6,3,5,4,1,4,2,3,0,5,1,2,1,0,3,2,2,2,0,0,0
170002,1総数,2017,98,33,4,5,3,1,46,10,5,4,4,5,4,0,0,3,3,0,2,8,1,0,2,1,0,0,0,0
170003,1総数,1999,14,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170003,1総数,2000,16,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170003,1総数,2001,16,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170003,1総数,2002,16,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
