seq,sex,year,総数,X0歳,X1歳,X2歳,X3歳,X4歳,X0.4歳,X5.9歳,X10.14歳,X15.19歳,X20.24歳,X25.29歳,X30.34歳,X35.39歳,X40.44歳,X45.49歳,X50.54歳,X55.59歳,X60.64歳,X65.69歳,X70.74歳,X75.79歳,X80.84歳,X85.89歳,X90.94歳,X95.99歳,X100歳以上,不詳
080001,1総数,1999,25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,1,3,2,3,3,4,1,3,0,1,0
080001,1総数,2000,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,4,6,1,3,0,0,0
080001,1総数,2001,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,2,1,1,0,0,0
080001,1総数,2002,9,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,1,0,1,0,0,0,1,0,0,0
080001,1総数,2003,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,1,5,0,1,1,0,0
080001,1総数,2004,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,5,1,0,2,1,0,0
080001,1総数,2005,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,0,2,1,1,2,0,0,0
080001,1総数,2006,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,2,2,3,1,1,0,0
080001,1総数,2007,30,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,3,3,2,4,2,4,2,2,1,0
080001,1総数,2008,34,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,5,1,3,1,2,8,4,4,1,0,0
080001,1総数,2009,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,2,3,1,3,3,0,1,0
080001,1総数,2010,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,3,6,2,0,0
080001,1総数,2011,15,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,2,2,1,3,1,0,0
080001,1総数,2012,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,3,2,2,1,0,0,0
080001,1総数,2013,18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,4,4,3,3,0,1,0
080001,1総数,2014,12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,0,3,1,1,0,0
080001,1総数,2015,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,2,3,3,0,0,0
080001,1総数,2016,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,6,1,0,0
080001,1総数,2017,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,3,3,4,4,0,1,0
080002,1総数,1999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
080002,1総数,2000,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
080002,1総数,2001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
080002,1総数,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080002,1総数,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080002,1総数,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
080002,1総数,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
