layer,text,value,uplink,fCode
2,第1章 感染症及び寄生虫症(A00-B99),010002,010002,A
2,(A00-A09) 腸管感染症(A00-A09),010003,010002,A
2,(A15-A19) 結核(A15-A19),010081,010002,A
2,(A20-A28) 人畜共通細菌性疾患(A20-A28),010124,010002,A
2,(A30-A49) その他の細菌性疾患(A30-A49),010184,010002,A
2,(A50-A64) 主として性的伝播様式をとる感染症(A50-A64),010318,010002,A
2,(A65-A69) その他のスピロヘータ疾患(A65-A69),010380,010002,A
2,(A70-A74) クラミジアによるその他の疾患(A70-A74),010409,010002,A
2,(A75-A79) リケッチア症(A75-A79),010419,010002,A
2,(A80-A89) 中枢神経系のウイルス感染症(A80-A89),010443,010002,A
2,(A90-A99) 節足動物媒介ウイルス熱及びウイルス性出血熱(A90-A99),010501,010002,A
2,(B00-B09) 皮膚及び粘膜病変を特徴とするウイルス感染症(B00-B09),010541,010002,A
2,(B15-B19) ウイルス性肝炎(B15-B19),010592,010002,A
2,(B20-B24) ヒト免疫不全ウイルス[HIV]病(B20-B24),010616,010002,A
2,(B25-B34) その他のウイルス性疾患(B25-B34),010647,010002,A
2,(B35-B49) 真菌症(B35-B49),010694,010002,A
2,(B50-B64) 原虫疾患(B50-B64),010802,010002,A
2,(B65-B83) ぜん〈蠕〉虫症(B65-B83),010850,010002,A
2,(B85-B89) シラミ症，ダニ症及びその他の動物寄生症(B85-B89),010940,010002,A
2,(B90-B94) 感染症及び寄生虫症の続発・後遺症(B90-B94),010964,010002,A
2,(B99) その他の感染症(B99),010979,010002,A
2,第2章 新生物〈腫瘍〉(C00-D48),020001,020001,C
2,(C00-C96) 悪性新生物〈腫瘍〉(C00-C96),020002,020001,C
2,(C00-C14) 口唇，口腔及び咽頭の悪性新生物〈腫瘍〉(C00-C14),020003,020001,C
2,(C15-C26) 消化器の悪性新生物〈腫瘍〉(C15-C26),020083,020001,C
2,(C30-C39) 呼吸器及び胸腔内臓器の悪性新生物〈腫瘍〉(C30-C39),020176,020001,C
2,(C40-C41) 骨及び関節軟骨の悪性新生物〈腫瘍〉(C40-C41),020214,020001,C
2,(C43-C44) 皮膚の黒色腫及びその他の皮膚の悪性新生物〈腫瘍〉(C43-C44),020230,020001,C
2,(C45-C49) 中皮及び軟部組織の悪性新生物<腫瘍>(C45-C49),020253,020001,C
2,(C50) 乳房の悪性新生物〈腫瘍〉(C50),020293,020001,C
2,(C51-C58) 女性生殖器の悪性新生物〈腫瘍〉(C51-C58),020304,020001,C
2,(C60-C63) 男性生殖器の悪性新生物〈腫瘍〉(C60-C63),020336,020001,C
2,(C64-C68) 腎尿路の悪性新生物〈腫瘍〉(C64-C68),020355,020001,C
2,(C69-C72) 眼，脳及びその他の中枢神経系の部位の悪性新生物〈腫瘍〉(C69-C72),020384,020001,C
2,(C73-C75) 甲状腺及びその他の内分泌腺の悪性新生物〈腫瘍〉(C73-C75),020419,020001,C
2,(C76-C80) 部位不明確，続発部位及び部位不明の悪性新生物〈腫瘍〉(C76-C80),020434,020001,C
2,(C81-C96) リンパ組織，造血組織及び関連組織の悪性新生物〈腫瘍〉，原発と記載された又は推定されたもの(C81-C96),020476,020001,C
2,(C97) 独立した<原発性>多部位の悪性新生物(C97),020599,020001,C
2,(D00-D09) 上皮内新生物〈腫瘍〉(D00-D09),020601,020001,C
2,(D10-D36) 良性新生物〈腫瘍〉(D10-D36),020668,020001,C
2,(D37-D48) 性状不詳又は不明の新生物〈腫瘍〉(D37-D48),020849,020001,C
2,第3章 血液及び造血器の疾患並びに免疫機構の障害(D50-D89),030001,030001,D
2,(D50-D53) 栄養性貧血(D50-D53),030002,030001,D
2,(D55-D59) 溶血性貧血(D55-D59),030026,030001,D
2,(D60-D64) 無形成性貧血及びその他の貧血(D60-D64),030064,030001,D
2,(D65-D69) 凝固障害，紫斑病及びその他の出血性病態(D65-D69),030088,030001,D
2,(D70-D76) 血液及び造血器のその他の疾患(D70-D76),030112,030001,D
2,(D80-D89) 免疫機構の障害(D80-D89),030144,030001,D
2,第4章 内分泌，栄養及び代謝疾患(E00-E90),040001,040001,E
2,(E00-E07) 甲状腺障害(E00-E07),040002,040001,E
2,(E10-E14) 糖尿病(E10-E14),040053,040001,E
2,(E15-E16) その他のグルコース調節及び膵内分泌障害(E15-E16),040109,040001,E
2,(E20-E34) その他の内分泌腺障害(E20-E34),040119,040001,E
2,(E40-E46) 栄養失調(症)(E40-E46),040211,040001,E
2,(E50-E64) その他の栄養欠乏症(E50-E64),040223,040001,E
2,(E65-E68) 肥満(症)及びその他の過栄養〈過剰摂食〉(E65-E68),040281,040001,E
2,(E70-E88) 代謝障害(E70-E88),040296,040001,E
2,第5章 精神及び行動の障害(F00-F99),050001,050001,F
2,(F01-F09) 症状性を含む器質性精神障害(F01-F09),050002,050001,F
2,(F10-F19) 精神作用物質使用による精神及び行動の障害(F10-F19),050035,050001,F
2,(F20-F29) 統合失調症，統合失調症型障害及び妄想性障害(F20-F29),050176,050001,F
2,(F30-F39) 気分[感情]障害(F30-F39),050208,050001,F
2,(F40-F48) 神経症性障害，ストレス関連障害及び身体表現性障害(F40-F48),050251,050001,F
2,(F50-F59) 生理的障害及び身体的要因に関連した行動症候群(F50-F59),050301,050001,F
2,(F60-F69) 成人の人格及び行動の障害(F60-F69),050339,050001,F
2,(F70-F79) 知的障害〈精神遅滞〉(F70-F79),050395,050001,F
2,(F80-F89) 心理的発達の障害(F80-F89),050426,050001,F
2,(F90-F98) 小児〈児童〉期及び青年期に通常発症する行動及び情緒の障害(F90-F98),050454,050001,F
2,(F99) 詳細不明の精神障害(F99),050500,050001,F
2,第6章 神経系の疾患(G00-G99),060001,060001,G
2,(G00-G09) 中枢神経系の炎症性疾患(G00-G09),060002,060001,G
2,(G10-G14) 主に中枢神経系を障害する系統萎縮症(G10-G14),060028,060001,G
2,(G20-G25) 錐体外路障害及び異常運動(G20-G25),060049,060001,G
2,(G30-G31) 神経系のその他の変性疾患(G30-G31),060084,060001,G
2,(G35-G37) 中枢神経系の脱髄疾患(G35-G37),060096,060001,G
2,(G40-G47) 挿間性及び発作性障害(G40-G47),060114,060001,G
2,(G50-G58) 神経，神経根及び神経そう〈叢〉の障害(G50-G58),060162,060001,G
2,(G60-G64) 多発(性)ニューロパチ〈シ〉ー及びその他の末梢神経系の障害(G60-G64),060218,060001,G
2,(G70-G72) 神経筋接合部及び筋の疾患(G70-G72),060240,060001,G
2,(G80-G83) 脳性麻痺及びその他の麻痺性症候群(G80-G83),060262,060001,G
2,(G90-G98) 神経系のその他の障害(G90-G98),060290,060001,G
2,第7章 眼及び付属器の疾患(H00-H59),070001,070001,H
2,(H00-H05) 眼瞼，涙器及び眼窩の障害(H00-H05),070002,070001,H
2,(H10-H11) 結膜の障害(H10-H11),070041,070001,H
2,(H15-H21) 強膜，角膜，虹彩及び毛様体の障害(H15-H21),070059,070001,H
2,(H25-H27) 水晶体の障害(H25-H27),070104,070001,H
2,(H30-H35) 脈絡膜及び網膜の障害(H30-H35),070124,070001,H
2,(H40) 緑内障(H40),070163,070001,H
2,(H43-H44) 硝子体及び眼球の障害(H43-H44),070174,070001,H
2,(H46-H47) 視神経及び視(覚)路の障害(H46-H47),070193,070001,H
2,(H49-H52) 眼筋，眼球運動，調節及び屈折の障害(H49-H52),070204,070001,H
2,(H53-H54) 視機能障害及び盲〈失明〉(H53-H54),070238,070001,H
2,(H55-H57) 眼及び付属器のその他の障害(H55-H57),070259,070001,H
2,第8章 耳及び乳様突起の疾患(H60-H95),080001,080001,Z
2,(H60-H61) 外耳疾患(H60-H61),080002,080001,Z
2,(H65-H74) 中耳及び乳様突起の疾患(H65-H74),080019,080001,Z
2,(H80-H83) 内耳疾患(H80-H83),080067,080001,Z
2,(H90-H93) 耳のその他の障害(H90-H93),080089,080001,Z
2,第9章 循環器系の疾患(I00-I99),090001,090001,I
2,(I00-I02) 急性リウマチ熱(I00-I02),090002,090001,I
2,(I05-I09) 慢性リウマチ性心疾患(I05-I09),090013,090001,I
2,(I10-I15) 高血圧性疾患(I10-I15),090045,090001,I
2,(I20-I25) 虚血性心疾患(I20-I25),090064,090001,I
2,(I26-I28) 肺性心疾患及び肺循環疾患(I26-I28),090096,090001,I
2,(I30-I51) その他の型の心疾患(I30-I51),090111,090001,I
2,(I60-I69) 脳血管疾患(I60-I69),090230,090001,I
2,(I70-I78) 動脈，細動脈及び毛細血管の疾患(I70-I78),090285,090001,I
2,(I80-I89) 静脈，リンパ管及びリンパ節の疾患，他に分類されないもの(I80-I89),090343,090001,I
2,(I95-I99) 循環器系のその他及び詳細不明の障害(I95-I99),090401,090001,I
2,第10章 呼吸器系の疾患(J00-J99),100001,100001,J
2,(J00-J06) 急性上気道感染症(J00-J06),100002,100001,J
2,(J09-J18) インフルエンザ及び肺炎(J09-J18),100031,100001,J
2,(J20-J22) その他の急性下気道感染症(J20-J22),100114,100001,J
2,(J30-J39) 上気道のその他の疾患(J30-J39),100132,100001,J
2,(J40-J47) 慢性下気道疾患(J40-J47),100189,100001,J
2,(J60-J70) 外的因子による肺疾患(J60-J70),100214,100001,J
2,(J80-J84) 主として間質を障害するその他の呼吸器疾患(J80-J84),100266,100001,J
2,(J85-J86) 下気道の化膿性及びえ〈壊〉死性病態(J85-J86),100280,100001,J
2,(J90-J94) 胸膜のその他の疾患(J90-J94),100289,100001,J
2,(J96-J98) 呼吸器系のその他の疾患(J96-J98),100305,100001,J
2,第11章 消化器系の疾患(K00-K93),110001,110001,K
2,(K00-K14) 口腔，唾液腺及び顎の疾患(K00-K14),110002,110001,K
2,(K20-K31) 食道，胃及び十二指腸の疾患(K20-K31),110127,110001,K
2,(K35-K38) 虫垂の疾患(K35-K38),110206,110001,K
2,(K40-K46) ヘルニア(K40-K46),110223,110001,K
2,(K50-K52) 非感染性腸炎及び非感染性大腸炎(K50-K52),110264,110001,K
2,(K55-K64) 腸のその他の疾患(K55-K64),110286,110001,K
2,(K65-K66) 腹膜の疾患(K65-K66),110364,110001,K
2,(K70-K76) 肝疾患(K70-K76),110374,110001,K
2,(K80-K86) 胆のう〈嚢〉，胆管及び膵の障害(K80-K86),110432,110001,K
2,(K90-K92) 消化器系のその他の疾患(K90-K92),110485,110001,K
2,第12章 皮膚及び皮下組織の疾患(L00-L99),120001,120001,L
2,(L00-L08) 皮膚及び皮下組織の感染症(L00-L08),120002,120001,L
2,(L10-L13) 水疱症(L10-L13),120037,120001,L
2,(L20-L30) 皮膚炎及び湿疹(L20-L30),120064,120001,L
2,(L40-L44) 丘疹落せつ〈屑〉〈りんせつ〈鱗屑〉〉性障害(L40-L44),120133,120001,L
2,(L50-L53) じんま〈蕁麻〉疹及び紅斑(L50-L53),120168,120001,L
2,(L55-L59) 皮膚及び皮下組織の放射線(非電離及び電離)に関連する障害(L55-L59),120193,120001,L
2,(L60-L75) 皮膚付属器の障害(L60-L75),120227,120001,L
2,(L80-L98) 皮膚及び皮下組織のその他の障害(L80-L98),120313,120001,L
2,第13章 筋骨格系及び結合組織の疾患(M00-M99),130001,130001,M
2,(M00-M25) 関節障害(M00-M25),130002,130001,M
2,(M00-M02) 感染性関節障害(M00-M02),130003,130001,M
2,(M05-M13) 炎症性多発性関節障害(M05-M13),130017,130001,M
2,(M15-M19) 関節症(M15-M19),130067,130001,M
2,(M20-M25) その他の関節障害(M20-M25),130108,130001,M
2,(M30-M35) 全身性結合組織障害(M30-M35),130168,130001,M
2,(M40-M54) 脊柱障害(M40-M54),130217,130001,M
